fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,good_quality,total_acidity,acidity_ratio,free_to_total_sulfur,alcohol_level_medium,alcohol_level_high
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,0,8.1,10.571428571428573,0.3235294117647059,False,False
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,0,8.68,8.863636363636363,0.373134328358209,True,False
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,0,8.56,10.263157894736842,0.2777777777777778,True,False
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,0,11.479999999999999,39.99999999999999,0.2833333333333333,True,False
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,0,8.1,10.571428571428573,0.3235294117647059,False,False
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,0,8.06,11.212121212121213,0.325,False,False
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,0,8.5,13.166666666666668,0.2542372881355932,False,False
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,1,7.95,11.23076923076923,0.7142857142857143,True,False
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,1,8.379999999999999,13.448275862068966,0.5,False,False
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,0,8.0,15.0,0.16666666666666666,True,False
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,0,7.28,11.551724137931036,0.23076923076923078,False,False
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,0,8.0,15.0,0.16666666666666666,True,False
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,0,6.215,9.105691056910569,0.2711864406779661,True,False
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,0,8.41,12.78688524590164,0.3103448275862069,False,False
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,0,9.52,14.35483870967742,0.3586206896551724,False,False
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,0,9.52,14.35483870967742,0.34459459459459457,False,False
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,1,8.78,30.357142857142854,0.33980582524271846,True,False
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,0,8.66,14.464285714285712,0.2857142857142857,False,False
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,0,7.99,12.542372881355934,0.20689655172413793,False,False
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,0,8.22,24.6875,0.30357142857142855,False,False
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,0,9.120000000000001,40.45454545454545,0.48333333333333334,False,False
