collision_index,date,day_of_week,time,collision_severity,number_of_vehicles,number_of_casualties,speed_limit,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,road_type,longitude,latitude
2021170H10581,07/07/2021,4,12:30,3,2,1,30,1,1,1,1,6,-1.215535,54.705385
2021170M10181,26/02/2021,6,19:30,2,1,1,30,4,1,1,1,6,-1.246477,54.56554
2021170M30721,20/05/2021,5,16:45,3,2,1,40,1,2,2,1,1,-1.21254,54.521556
2021170L50121,30/01/2021,7,18:08,2,1,1,30,4,1,1,2,6,-0.894618,54.555397
2021111130730,19/10/2021,3,19:44,3,2,2,30,4,2,2,1,6,-1.549932,54.529984
2021070542272,04/08/2021,4,13:08,2,2,1,30,1,1,1,1,3,-2.565859,53.397321
2021041041953,04/05/2021,3,20:47,2,1,1,30,4,5,2,1,6,-2.49379,53.751009
2021161014495,01/01/2021,6,02:15,3,1,1,30,4,1,4,1,6,-0.382689,53.787139
2021161024169,15/02/2021,2,16:45,3,2,1,30,1,1,1,1,3,-0.344477,53.743299
2021161027513,28/02/2021,1,12:35,2,2,1,40,1,1,1,1,3,-0.278782,53.769764
2021161045747,12/05/2021,4,06:20,2,2,1,30,1,1,1,1,1,-0.387399,53.743462
2021161117780,03/12/2021,6,17:40,2,1,1,40,4,1,2,1,3,-0.270312,53.772419
2021161044770,13/05/2021,5,10:14,3,2,1,30,1,1,1,2,6,-0.772548,53.933374
2021161071522,20/07/2021,3,21:35,2,1,1,60,6,1,1,2,6,-0.301702,53.870677
2021161077056,15/08/2021,1,12:30,3,2,1,60,1,1,1,2,1,-0.455031,54.108593
2021161103958,29/10/2021,6,19:05,2,2,1,60,6,1,1,2,6,-0.335992,53.829476
2021161122370,15/12/2021,4,18:15,3,2,1,30,4,1,1,1,6,-0.880605,53.70626
2021161029602,19/03/2021,6,07:45,3,1,1,30,1,1,1,1,6,-0.091232,53.556066
2021161071694,29/07/2021,5,15:11,3,1,1,20,1,1,1,1,6,-0.654787,53.596323
2021161082969,01/09/2021,4,16:10,3,3,2,70,1,1,1,2,3,-0.450329,53.691911
2021122101437,09/11/2021,3,20:30,2,2,1,30,4,1,2,1,6,-1.092854,53.967201
2021302101806,18/11/2021,5,16:56,2,2,1,30,4,1,1,1,6,-1.455069,52.925912
2021332100930,12/11/2021,6,16:25,3,2,1,30,4,1,2,1,6,-1.123976,52.607294
202131C009321,05/02/2021,6,09:25,3,2,4,30,1,9,-1,1,6,-1.173709,52.98034
202131C031921,03/04/2021,7,11:40,3,2,1,30,1,1,1,1,6,-1.179594,52.964533
202131C093121,30/07/2021,6,21:15,3,3,1,30,1,1,1,1,3,-1.180186,52.964725
202131C125121,13/09/2021,2,14:08,2,2,1,30,1,1,1,1,1,-1.207044,52.980252
202131C155421,24/09/2021,6,12:19,3,2,1,30,1,1,1,1,1,-1.174951,52.914312
2021221024983,28/02/2021,1,11:20,3,2,1,60,1,1,1,2,6,-2.671075,52.188688
2021221083188,27/08/2021,6,09:00,3,2,1,30,1,1,1,2,6,-2.422328,52.035822
2021221119567,11/11/2021,5,17:20,3,2,1,30,4,2,2,2,6,-2.469384,52.710148
2021221124957,06/12/2021,2,14:32,3,2,1,30,1,1,2,2,6,-2.473702,52.716576
2021522101781,31/03/2021,4,22:48,3,2,1,20,4,1,1,1,6,-2.583164,51.487939
2021522105311,09/09/2021,5,15:56,3,1,1,20,1,2,2,1,6,-2.546673,51.486038
2021522104595,17/09/2021,6,16:10,3,1,1,20,1,9,1,1,6,-2.571752,51.404724
2021522105167,17/10/2021,1,15:50,3,2,1,40,1,1,1,2,3,-2.62272,51.443946
2021522106277,24/11/2021,4,10:30,3,2,2,30,1,1,1,1,6,-2.557134,51.426176
2021522105863,30/11/2021,3,18:48,3,1,1,20,4,1,1,1,6,-2.593664,51.47021
2021501078801,12/06/2021,7,11:23,3,2,1,30,1,1,1,1,3,-4.13275,50.409623
2021501086846,06/07/2021,3,08:30,3,2,1,30,1,1,1,1,6,-4.104104,50.384743
2021501116963,29/11/2021,2,14:45,3,2,2,30,1,1,1,1,6,-4.167434,50.372967
2021501083333,24/07/2021,7,19:15,3,1,1,30,1,1,1,1,6,-3.534258,50.46935
2021501114322,25/11/2021,5,15:36,1,1,1,30,1,1,1,1,6,-3.552317,50.473032
2021540650721,21/01/2021,5,18:54,3,2,1,30,4,2,2,1,6,-1.777387,51.548777
202154B427821,23/11/2021,3,09:40,3,1,1,50,1,1,1,2,6,-1.766386,51.520163
202154B527221,25/11/2021,5,20:36,3,2,2,30,4,1,1,1,6,-1.775127,51.553629
2021351042214,07/02/2021,1,12:15,2,4,1,20,1,1,1,1,6,-0.247596,52.58012
2021351068047,20/05/2021,5,14:55,2,1,2,30,1,2,2,1,6,-0.24569,52.59606
2021351090507,01/09/2021,4,09:52,3,2,1,30,1,1,1,1,6,-0.265496,52.593673
2021351093022,10/09/2021,6,13:40,3,1,1,70,1,1,1,2,7,-0.320276,52.535535
2021351111584,17/11/2021,4,05:40,3,2,1,30,4,1,2,1,6,-0.238671,52.574485
2021401092481,22/09/2021,4,15:17,3,1,2,30,1,1,1,1,6,-0.432559,51.888881
2021401108621,28/10/2021,5,16:18,2,2,3,30,1,1,1,1,6,-0.421164,51.895994
2021421126347,17/12/2021,6,15:59,2,1,1,30,4,1,2,1,6,0.691585,51.543998
2021461056352,10/06/2021,5,12:25,3,2,1,30,1,1,1,2,6,0.578531,51.363641
2021461108593,07/11/2021,1,20:30,3,2,1,30,4,1,1,1,6,0.610435,51.36485
2021430578229,23/12/2021,5,18:10,3,2,2,40,4,2,2,2,6,-0.772322,51.387304
2021430183803,30/04/2021,6,08:05,3,2,1,50,1,1,1,2,7,-1.308924,51.452335
2021430122775,23/03/2021,3,19:43,2,2,1,30,4,1,1,1,6,-0.575966,51.505605
2021471037400,12/04/2021,2,17:18,3,2,1,30,1,1,1,1,3,-0.151498,50.84355
2021471047401,20/05/2021,5,15:50,2,1,1,30,1,2,2,1,6,-0.178376,50.832532
2021471073321,03/08/2021,3,20:30,2,1,1,30,1,1,1,1,3,-0.144119,50.820463
2021440037359,31/01/2021,1,16:17,3,2,2,20,4,1,1,1,6,-1.080873,50.787217
2021440462907,17/11/2021,4,17:20,3,2,1,30,4,1,1,1,6,-1.078255,50.809966
2021440490987,07/12/2021,3,17:56,3,2,1,30,4,1,2,1,6,-1.065232,50.846608
2021440158872,26/04/2021,2,17:45,3,2,1,30,1,1,1,1,6,-1.401392,50.910173
2021440199853,23/05/2021,1,16:50,3,2,1,30,1,2,2,1,6,-1.434856,50.923442
2021440253479,26/06/2021,7,20:53,2,2,1,30,1,1,1,1,6,-1.446042,50.932677
2021440513894,21/12/2021,3,06:35,3,2,1,30,4,1,1,1,1,-1.418449,50.933837
2021111092624,27/09/2021,2,17:15,3,1,1,30,1,1,1,2,6,-1.628351,54.81926
2021070391423,04/06/2021,6,17:30,2,2,1,50,1,1,1,2,6,-2.202714,53.182303
2021070629891,10/09/2021,6,09:20,3,4,2,70,1,2,2,1,3,-2.205918,53.338549
2021070721783,17/10/2021,1,16:38,3,1,1,30,1,1,2,1,6,-2.441797,53.107433
2021070730669,21/10/2021,5,00:45,3,1,1,60,6,2,2,2,6,-2.32952,53.153668
2021070852430,09/12/2021,5,14:00,3,2,1,50,1,1,1,2,6,-2.721186,53.083
2021070854874,10/12/2021,6,15:03,3,1,1,30,1,2,2,1,6,-2.442058,53.095063
2021070304998,12/05/2021,4,16:16,3,2,1,40,1,1,1,2,6,-2.409714,53.198992
2021070310147,14/05/2021,6,16:35,2,2,1,60,1,1,1,2,6,-2.471596,53.198933
2021221054690,06/06/2021,1,18:00,2,2,1,60,1,1,1,2,6,-2.888363,52.631405
2021221057981,12/06/2021,7,18:05,3,2,1,60,1,1,1,2,6,-2.79376,52.644617
2021501042113,18/04/2021,1,17:12,3,2,1,30,1,1,1,1,6,-5.295345,50.212077
2021501063018,12/06/2021,7,00:46,3,1,1,60,6,1,2,2,6,-5.166253,50.279271
2021501067876,05/07/2021,2,16:58,3,3,2,60,1,2,2,2,6,-5.102798,50.305129
2021501099983,22/09/2021,4,17:56,2,2,1,60,1,1,1,2,6,-4.840699,50.412401
2021501109590,26/09/2021,1,14:50,3,2,1,60,1,1,1,2,6,-4.483145,50.494397
2021501110349,22/10/2021,6,08:57,3,2,1,40,1,1,1,1,3,-5.041051,50.267243
2021501135097,25/10/2021,2,15:06,3,2,1,60,1,1,2,2,6,-4.744482,50.447697
2021546392421,02/07/2021,6,18:09,3,2,1,30,1,1,1,1,6,-1.778114,51.083071
2021546738721,12/07/2021,2,17:15,2,3,3,50,1,8,2,2,6,-1.925123,51.319881
2021548382921,27/08/2021,6,18:55,2,2,1,50,1,1,1,2,6,-2.000461,51.335218
2021401015687,11/01/2021,2,15:27,3,3,1,30,1,1,2,2,6,-0.455364,52.131273
2021401047204,01/05/2021,7,09:40,3,2,1,60,1,1,1,2,3,-0.494876,52.152383
2021401119158,23/11/2021,3,19:13,3,2,1,30,4,1,1,1,6,-0.428071,52.153741
2021401052080,23/05/2021,1,08:39,2,3,2,30,1,1,1,2,6,-0.630428,52.073428
2021552100759,31/07/2021,7,12:32,3,2,2,30,1,1,1,2,6,-1.808079,50.741121
2021552101408,09/12/2021,5,20:22,3,2,1,30,4,2,2,1,1,-1.86675,50.726337
2021552100288,24/01/2021,1,08:16,3,1,1,40,1,2,4,2,6,-2.257504,50.719817
2021552100487,18/04/2021,1,16:27,3,2,2,30,1,1,1,2,6,-2.4866,50.961932
2021552100489,25/04/2021,1,01:36,3,1,1,30,7,1,1,2,6,-2.056017,50.737686
2021430559460,11/12/2021,7,13:20,3,2,1,60,1,1,1,2,6,-0.591469,51.689384
202134NNC1621,13/03/2021,7,15:00,2,2,1,30,1,4,1,1,6,-0.723454,52.388824
202134NNC2501,09/06/2021,4,07:25,3,2,1,70,1,1,1,2,3,-0.592967,52.319345
202134NNC3221,14/08/2021,7,04:45,3,2,2,30,4,1,1,1,6,-0.724515,52.395866
202134WNC4601,01/09/2021,4,21:50,3,3,1,70,6,1,1,1,3,-0.937267,52.220675
2021122200147,15/07/2021,5,17:26,3,2,1,60,1,1,1,2,6,-0.991308,53.837791
2021122101029,08/09/2021,4,14:39,2,2,1,60,1,8,1,2,6,-1.386713,54.102418
2021122101169,29/09/2021,4,03:06,3,2,1,70,6,2,2,2,3,-1.322655,54.450037
2021122101428,17/11/2021,4,08:30,3,2,1,30,1,1,1,1,6,-1.46743,54.007892
2021122101363,22/11/2021,2,08:44,2,1,1,40,1,1,2,1,6,-1.064252,53.783238
2021520104298,12/06/2021,7,19:31,3,2,1,30,1,1,1,1,6,-2.992992,51.122172
2021520103363,29/06/2021,3,16:19,3,2,2,30,1,1,1,2,6,-2.790579,51.28865
202106K078959,02/01/2021,7,22:20,3,2,1,30,4,1,1,1,9,-2.576776,53.590485
202106K079056,03/01/2021,1,20:38,2,1,1,30,4,9,1,1,6,-2.445826,53.595117
2021061097870,28/09/2021,3,08:40,3,2,1,30,1,1,1,1,6,-2.335749,53.605562
2021061039080,30/03/2021,3,10:50,3,2,1,20,1,1,1,1,6,-2.23242,53.456125
2021061055072,21/05/2021,6,15:10,3,1,1,20,1,9,3,1,6,-2.265495,53.434879
2021061059964,26/06/2021,7,22:05,2,1,1,30,4,1,1,1,6,-2.231824,53.41858
2021061112667,27/10/2021,4,15:48,3,2,1,30,1,1,1,1,3,-2.19645,53.500367
2021061119594,31/10/2021,1,13:50,3,2,1,30,4,1,1,1,3,-2.132128,53.525578
2021061028404,08/03/2021,2,12:40,3,3,2,40,1,1,2,1,3,-2.356743,53.508976
2021061033862,18/03/2021,5,17:20,3,1,1,30,1,1,1,1,6,-2.256124,53.508883
202106J079494,27/01/2021,4,07:20,3,2,1,30,4,1,2,1,6,-2.106125,53.42426
2021061094044,04/09/2021,7,16:33,3,2,1,30,1,1,1,1,6,-2.141416,53.479161
2021061060784,01/06/2021,3,16:30,3,2,1,30,1,1,1,1,6,-2.682321,53.536295
2021061137838,10/12/2021,6,08:45,3,2,1,30,1,2,2,2,6,-2.613301,53.503546
2021052102020,01/09/2021,4,07:20,2,2,1,30,1,1,1,1,2,-2.96138,53.410908
2021052102228,12/10/2021,3,12:15,3,2,2,30,1,1,1,2,6,-2.704811,53.397677
2021052101924,15/09/2021,4,13:50,3,3,4,60,1,1,1,2,3,-3.047769,53.568933
2021052102374,01/11/2021,2,03:15,3,1,1,30,4,2,2,1,6,-3.011762,53.394384
2021141084942,07/09/2021,3,13:30,3,2,1,60,1,1,1,2,1,-1.367895,53.516884
2021141117053,03/12/2021,6,09:00,3,2,2,30,1,1,2,1,6,-1.514782,53.539726
2021141017155,26/01/2021,3,14:41,2,2,1,30,1,2,2,1,6,-1.007429,53.599668
2021141069633,22/07/2021,5,22:22,3,2,2,30,4,1,1,1,6,-1.207109,53.422372
2021141028533,03/03/2021,4,00:01,3,2,1,30,7,9,1,1,3,-1.45568,53.389749
2021141032497,02/04/2021,6,15:26,2,1,1,30,1,2,1,1,6,-1.360877,53.343455
2021141067199,17/07/2021,7,22:04,3,1,1,30,1,1,1,1,6,-1.45079,53.391155
2021141072404,01/08/2021,1,15:25,2,2,1,30,1,1,1,1,6,-1.390755,53.362254
2021141096732,09/10/2021,7,12:25,3,2,1,30,1,1,1,1,6,-1.494462,53.412417
2021141098522,13/10/2021,4,16:15,3,1,1,30,1,1,1,1,1,-1.462519,53.374427
2021141101497,22/10/2021,6,08:15,3,2,2,30,1,1,1,1,6,-1.3328,53.335122
2021101025763,03/03/2021,4,14:36,2,1,1,30,1,1,1,1,6,-1.566877,54.973711
2021101090423,19/09/2021,1,22:30,3,1,1,30,4,1,1,1,6,-1.57057,55.00106
2021101054115,07/06/2021,2,23:26,2,1,1,50,4,1,2,2,3,-1.49768,54.955392
2021101059708,24/06/2021,5,09:10,3,2,1,30,1,1,1,1,6,-1.508528,54.965986
2021101120573,13/12/2021,2,09:25,2,2,1,20,1,1,1,1,6,-1.423817,54.924008
2021201047242,02/02/2021,3,17:50,3,2,1,30,4,1,1,1,6,-1.920721,52.512566
2021201067669,12/02/2021,6,16:45,3,2,2,30,1,1,1,1,7,-1.899518,52.467043
2021201059356,16/02/2021,3,16:00,3,2,1,30,1,2,2,1,6,-1.834046,52.52117
2021201067489,20/02/2021,7,17:07,3,4,2,30,4,1,1,1,3,-1.902201,52.465184
2021201062149,21/02/2021,1,17:51,3,2,1,30,4,1,1,1,6,-1.874186,52.528672
2021201059203,28/05/2021,6,14:45,3,2,1,30,1,1,1,1,3,-1.918191,52.486215
2021201111505,05/06/2021,7,17:43,1,2,2,30,1,1,1,1,3,-1.834604,52.439155
2021201136684,04/10/2021,2,15:35,3,1,1,30,1,1,1,1,6,-1.908363,52.552815
2021201138796,14/10/2021,5,06:25,3,2,1,30,4,1,1,1,1,-1.875449,52.473187
2021201141182,24/10/2021,1,21:28,3,2,2,30,4,1,1,1,6,-1.948248,52.408756
2021201135755,09/12/2021,5,16:51,2,1,1,40,4,1,1,1,3,-1.913765,52.452481
2021201198497,11/12/2021,7,05:26,1,3,3,20,4,1,1,1,6,-1.827805,52.492806
2021201057075,07/02/2021,1,22:15,3,2,1,30,4,5,4,1,6,-1.510675,52.433937
2021201061543,17/06/2021,5,12:35,2,2,1,30,1,1,1,1,6,-1.531878,52.442869
2021201145418,06/11/2021,7,14:10,3,2,1,30,1,1,1,1,6,-1.532327,52.404581
