videostatsid,ytvideoid,views,comments,likes,dislikes,timestamp
1521476,BccyzhMWVmg,4271393,10699,247354,8581,2020-04-10 20:00:05
1141953,3bJFIMcr7NI,777256,2439,33858,371,2020-01-21 04:30:16
1203248,pX1puTIogCw,1291478,3509,72360,1315,2020-02-03 05:00:39
568283,I82TidwcAYM,174606,269,1802,114,2019-08-03 05:32:48
501384,_U2nbcAmgOo,189998,583,8898,161,2019-07-20 04:00:23
943981,L7MkXc4hX-8,1118958,9725,56359,1685,2019-12-09 19:30:43
167047,ZI0KYUNtMSI,1303895,7302,69191,1398,2019-05-09 17:00:16
579465,jnz-lc9LYgo,2441891,6266,44113,1564,2019-08-05 13:30:22
83410,A_D1huHoa8g,9398504,23809,515191,15588,2019-04-24 01:30:52
440075,tRyCQcu0ygE,542238,531,5704,395,2019-07-07 06:30:30
1490948,3827gqbsIMI,1106815,6068,23771,1494,2020-04-04 09:30:46
185074,4gn6np-kNCA,1466238,8625,57949,5174,2019-05-13 12:00:22
1440002,cJiKNBmNpBQ,576368,1589,36042,580,2020-03-24 14:30:42
135463,Gq5pj45CUb4,934573,5601,79361,445,2019-04-29 15:30:28
780836,VUp-3CXc_Gg,328482,640,2553,231,2019-10-29 09:00:12
953022,LLAl-ahXOCo,735170,5809,53601,1536,2019-12-11 17:30:05
521805,_dxjgROKQJ0,1429842,11141,111478,1156,2019-07-24 12:00:05
264021,zuS_GQfe7J0,2823904,4909,70653,2039,2019-05-30 01:00:32
341317,6TsIGLtt8-8,541026,1488,16705,696,2019-06-15 16:30:44
1060609,1sPOjQ0p1kE,428708,558,21774,539,2020-01-03 11:30:26
1352205,DbVgA3X8zAU,438575,1263,3390,810,2020-03-05 23:00:58
58841,cyh_JcPk8ZE,1345226,4473,73847,1618,2019-04-21 10:15:49
1252267,JFTAN_NA4wk,1211432,8870,53298,4952,2020-02-13 15:00:46
674540,dbxMICf5Z1U,1772197,2801,30606,703,2019-09-09 07:30:10
663561,YCrD2RlipAg,8824667,5274,108087,5077,2019-09-01 20:00:04
303599,GBZvGy-qhQs,345825,957,3079,235,2019-06-07 16:00:40
1377114,ykJWcT1QFqI,557517,433,10637,183,2020-03-11 07:00:07
342065,4z4InMIQEC8,398182,895,11309,305,2019-06-15 20:30:31
1125179,HWRRik0hcgQ,850438,4602,13303,571,2020-01-17 16:00:15
