clean_text,label
skills programming languages python pandas numpy scipy scikit learn matplotlib sql java javascript jquery machine learning regression svm na bayes knn random forest decision trees boosting techniques cluster analysis word embedding sentiment analysis natural language processing dimensionality reduction topic modelling lda nmf pca neural nets database visualizations mysql sqlserver cassandra hbase elasticsearch js dc js plotly kibana matplotlib ggplot tableau others regular expression html css angular logstash kafka python flask git docker computer vision open cv understanding deep learning education details data science assurance associate data science assurance associate ernst young llp skill details javascript exprience months jquery exprience months python exprience monthscompany details company ernst young llp description fraud investigations dispute services assurance technology assisted review tar technology assisted review assists accelerating review process run analytics generate reports core member team helped developing automated review platform tool scratch assisting discovery domain tool implements predictive coding topic modelling automating reviews resulting reduced labor costs time spent lawyers review understand end end flow solution research development classification models predictive analysis mining information present text data worked analyzing outputs precision monitoring entire tool tar assists predictive coding topic modelling evidence following ey standards developed classifier models order identify red flags fraud related issues tools technologies python scikit learn tfidf word vec doc vec cosine similarity na bayes lda nmf topic modelling vader text blob sentiment analysis matplot lib tableau dashboard reporting multiple data science analytic projects usa clients text analytics motor vehicle customer review data received customer feedback survey data past one year performed sentiment positive negative neutral time series analysis customer comments across categories created heat map terms survey category based frequency words extracted positive negative words across survey categories plotted word cloud created customized tableau dashboards effective reporting visualizations chatbot developed user friendly chatbot one products handle simple questions hours operation reservation options chat bot serves entire product related questions giving overview tool via qa platform also give recommendation responses user question build chain relevant answer intelligence build pipeline questions per user requirement asks relevant recommended questions tools technologies python natural language processing nltk spacy topic modelling sentiment analysis word embedding scikit learn javascript jquery sqlserver information governance organizations make informed decisions information store integrated information governance portfolio synthesizes intelligence across unstructured data sources facilitates action ensure organizations best positioned counter information risk scan data multiple sources formats parse different file formats extract meta data information push results indexing elastic search created customized interactive dashboards using kibana preforming rot analysis data give information data helps identify content either redundant outdated trivial preforming full text search analysis elastic search predefined methods tag pii personally identifiable information social security numbers addresses names etc frequently targeted cyber attacks tools technologies python flask elastic search kibana fraud analytic platform fraud analytics investigative platform review red flag cases fap fraud analytics investigative platform inbuilt case manager suite analytics various erp systems used clients interrogate accounting systems identifying anomalies indicators fraud running advanced analytics tools technologies html javascript sqlserver jquery css bootstrap node js js dc js,Data Science
education details may may uit rgpv data scientist data scientist matelabs skill details python exprience less year months statsmodels exprience months aws exprience less year months machine learning exprience less year months sklearn exprience less year months scipy exprience less year months keras exprience less year monthscompany details company matelabs description ml platform business professionals dummies enthusiasts koramangala th block achievements tasks behind sukh sagar bengaluru india developed deployed auto preprocessing steps machine learning mainly missing value treatment outlier detection encoding scaling feature selection dimensionality reduction deployed automated classification regression model linkedin com aditya rathore reasearch deployed time series forecasting model arima sarimax holt winter prophet worked meta feature extracting problem github com rathorology implemented state art research paper outlier detection mixed attributes company matelabs description,Data Science
areas interest deep learning control system design programming python electric machinery web development analytics technical activities hindustan aeronautics limited bangalore weeks guidance mr satish senior engineer hangar mirage fighter aircraft technical skills programming matlab python java labview python webframework django flask ltspice intermediate languages mipower intermediate github gitbash jupyter notebook xampp mysql basics python software packages interpreters anaconda python python pycharm java ide eclipse operating systems windows ubuntu debian kali linux education details january tech electrical electronics engineering manipal institute technology january deeksha center january little flower public school august manipal academy higher data science data science electrical enthusiast skill details data analysis exprience less year months excel exprience less year months machine learning exprience less year months mathematics exprience less year months python exprience less year months matlab exprience less year months electrical engineering exprience less year months sql exprience less year monthscompany details company themathcompany description currently working casino based operator name disclosed macau need segment customers visit property based value patrons bring company basically prove segmentation done much better way current system proper numbers back henceforth implement target marketing strategy attract customers add value business,Data Science
skills python sap hana tableau sap hana sql sap hana pal ms sql sap lumira linear programming data modelling advance analytics scm analytics retail analytics social media analytics nlp education details january january pgdm business analytics great lakes institute management illinois institute technology january bachelor engineering electronics communication bengaluru karnataka new horizon college engineering bangalore visvesvaraya technological university data science consultant consultant deloitte usi skill details linear programming exprience months retail exprience months retail marketing exprience months scm exprience months sql exprience less year months deep learning exprience less year months machine learning exprience less year months python exprience less year months exprience less year monthscompany details company deloitte usi description project involved analysing historic deals coming insights optimize future deals role given raw data carried end end analysis presented insights client key responsibilities extract data client systems across geographies understand build reports tableau infer meaningful insights optimize prices find process blockades technical environment tableau industry cross industry service area cross industry products project name handwriting recognition consultant months project involved taking handwritten images converting digital text images object detection sentence creation role developing sentence correction functionality key responsibilities gather data large enough capture english words train lstm models words technical environment python industry finance service area financial services bi development project name swift consultant months project develop analytics infrastructure top sap would user view financial reports respective departments reporting also included forecasting expenses role leading offshore team key responsibilities design develop data models reporting develop etl data flow validate various reports technical environment sap hana tableau sap ao industry healthcare analytics service area life sciences product development project name clinical healthcare system consultant months project develop analytics infrastructure top argus would allow users query faster provide advance analytics capabilities role involved design deploy phase performed lot data restructuring built models insights key responsibilities design develop data models reporting develop deploy analytical models validate various reports technical environment data modelling sap hana tableau nlp industry fmcg service area trade promotion project name consumption based planning flowers foods consultant months project involved setting crm cbp modules role involved key data decomposition activities setting base future year forecast course project developed various models carried key performance improvements key responsibilities design develop hana models decomposition develop data flow forecast developed various views reporting customer sales funds validate various reports bobj technical environment data modelling sap hana bobj time series forecasting internal initiative industry fmcg customer segmentation rfm analysis consultant months initiative involved setting hana python interface advance analytics python course successfully segmented data five core segments using means carried rfm analysis python also developed algorithm categorize new customer defined buckets technical environment anaconda python hana sps industry telecom invoice state detection consultant months initiative reduce manual effort verifying closed open invoices manually involved development decision tree classify open closed invoices enabled effort reduction technical environment sap pal sap hana sps accenture experience industry analytics cross industry process analytics sap senior developer months accenture solutions pvt ltd india project involved development sap analytics tool process analytics ipa role develop database objects data models provide operational insights clients role developed various finance related kpis spearheaded various deployments introduced sap predictive analytics reduce development time reuse functionalities kpis prepared production planning reports key responsibilities involved information gather phase designed implemented sap hana data modelling using attribute view analytic view calculation view developed various kpi individually using complex sql scripts calculation views created procedures hana database took ownership developed dashboard functionality involved building data processing algorithms executed server cluster analysis technical environment sap hana sql industry cross industry accenture testing accelerator sap database developer months accenture solutions pvt ltd india role taken care development activities atas tool also completed various deployments product apart activities also actively involved maintenance database servers production quality key responsibilities analyzing business requirements understanding scope getting requirements clarified interacting business transform requirements generate attribute mapping documents reviewing mapping specification documentation create update database objects like tables views stored procedures function packages monitored sql server error logs application logs sql server agent prepared data flow diagrams entity relationship diagrams using uml responsible designing developing normalization database tables experience performance tuning using sql profiler involved qa uat knowledge transfer support activities technical environment sql server visual studio windows server performance monitor sql server profiler pl sql sql,Data Science
education details mca ymcaust faridabad haryana data science internship skill details data structure exprience less year months exprience less year months data analysis exprience less year months python exprience less year months core java exprience less year months database management exprience less year monthscompany details company itechpower description,Data Science
skills basics iot python matlab data science machine learning html microsoft word microsoft excel microsoft powerpoint recognition academic secured first place tech education details august may tech ghatkesar andhra pradesh aurora scientific technological institute june may secondary education warangal telangana sr junior college data science skill details ms office exprience less year months exprience less year months machine learning exprience less year months data science exprience less year months matlab exprience less year monthscompany details company description,Data Science
skills python tableau data visualization studio machine learning statistics iabac certified data scientist versatile experience years managing business data science consulting leading innovation projects bringing business ideas working real world solutions strong advocator augmented era human capabilities enhanced machines fahed passionate bringing business concepts area machine learning ai robotics etc real life solutions education details january tech computer science engineering mohali punjab indo global college engineering data science consultant data science consultant datamites skill details machine learning exprience months python exprience months solutions exprience months data science exprience months data visualization exprience months tableau exprience monthscompany details company datamites description analyzed processed complex data sets using advanced querying visualization analytics tools responsible loading extracting validation client data worked manipulating cleaning processing data using python used tableau data visualization company heretic solutions pvt ltd description worked closely business identify issues used data propose solutions effective decision making manipulating cleansing processing data using python excel analyzed raw data drawing conclusions developing recommendations used machine learning tools statistical techniques produce solutions problems,Data Science
education details tech rayat bahra institute engineering biotechnology data science data science skill details numpy exprience less year months machine learning exprience less year months tensorflow exprience less year months scikit exprience less year months python exprience less year months gcp exprience less year months pandas exprience less year months neural network exprience less year monthscompany details company wipro description bhawana aggarwal mail bhawana chd gmail com phone vversatile high energy professional targeting challenging assignments machine profile summary professional knowledge experience years wipro technologies machine learning deep learning data science python software development skilled managing end end development software products projects inception requirement specs planning designing implementation configuration documentation knowledge python machine learning deep learning data science algorithms neural network nlp gcp knowledge python libraries like numpy pandas seaborn matplotlib cufflinks knowledge different algorithms machine learning like knn decision tree bias variance trade support vector machine svm logistic regression neural networks knowledge unsupervised supervised reinforcement data programming experience relational platforms like mysql oracle knowledge programming language like java experience cloud based environment like google cloud working different operating system like linux ubuntu windows good interpersonal communication skills problem solving skills ability think laterally think medium term long term perspective flexibility open attitude change ability create define frameworks strong emphasis code reusability technical skills programming languages python libraries seaborn numpy pandas cufflinks matplotlib algorithms knn decision tree linear regression logistic regression neural networks means clustering tensorflow svm databases sql oracle operating systems linux window development environments netbeans notebooks sublime ticketing tools service remedy education ug education tech computer science rayat bahra institute engineering biotechnology passed schooling xii moti ram arya sr secondary school passed valley public school passed cgpa work experince title wipro neural intelligence platform team size brief wipro neural intelligence platform harnesses power automation artificial intelligence technologies natural language processing nlp cognitive machine learning analytics platform comprises three layers data engagement platform easily access manage multiple structured unstructured data sources intent assessment reasoning engine includes sentiment predictive analytics deep machine learning engine sense act learn time project entailed automating responses user queries earliest monster bot using power deep machine learning nlp handle queries user see queries answered quickly like alll activities eliminated entity extractor involves text extraction nlp fetching important information text like dates names places contact numbers etc involves regex bluemix nlu api machine learning using tensor flow learning new entities classifier involves classifications classes training dataset predicting output using sklearn classifier mnb svm sgd classifier sgd optimization map user queries best suited response make system efficient ner deep learning ner model trained extract entities text entities like roles skills organizations extracted raw text rnn lstm bidirectional model trained extracting entities using keras tensorflow framework projects title diabetes detection brief developed software detect whether person suffering diabetes got third prize training certifications title python training machine learning data science deep learning organization udemy coursera machine learning deep learning personal profile father name mr tirlok aggarwal language known english hindi marital status single date birth gender yyyy mm dd company wipro description developing programs python company wipro description title wipro neural intelligence platform team size brief wipro neural intelligence platform harnesses power automation artificial intelligence technologies natural language processing nlp cognitive machine learning analytics platform comprises three layers data engagement platform easily access manage multiple structured unstructured data sources intent assessment reasoning engine includes sentiment predictive analytics deep machine learning engine sense act learn time project entailed automating responses user queries earliest monster bot using power deep machine learning nlp handle queries user see queries answered quickly like alll activities eliminated entity extractor involves text extraction nlp fetching important information text like dates names places contact numbers etc involves regex bluemix nlu api machine learning using tensor flow learning new entities classifier involves classifications classes training dataset predicting output using sklearn classifier mnb svm sgd classifier sgd optimization map user queries best suited response make system efficient ner deep learning ner model trained extract entities text entities like roles skills organizations extracted raw text rnn lstm bidirectional model trained extracting entities using keras tensorflow framework company wipro technologies description professional knowledge experience years wipro technologies machine learning deep learning data science python software development skilled managing end end development software products projects inception requirement specs planning designing implementation configuration documentation knowledge python machine learning deep learning data science algorithms neural network nlp gcp knowledge python libraries like numpy pandas seaborn matplotlib cufflinks knowledge different algorithms machine learning like knn decision tree bias variance trade support vector machine svm logistic regression neural networks knowledge unsupervised supervised reinforcement data programming experience relational platforms like mysql oracle knowledge programming language like java experience cloud based environment like google cloud working different operating system like linux ubuntu windows good interpersonal communication skills problem solving skills ability think laterally think medium term long term perspective flexibility open attitude change ability create define frameworks strong emphasis code reusability,Data Science
personal skills ability quickly grasp technical aspects willingness learn high energy levels result oriented education details january master engineering computer technology application bhopal madhya pradesh truba institute engineering information technology january computer science bhopal madhya pradesh rkdf institute science technology college engineering january polytechnic information technology vidisha madhya pradesh sati engineering college vidisha january tech thesis detail bmch school ganj basoda data science six month experience data science key skills experience machine learning deep leaning nlp python sql web scraping good knowledge computer subjects ability update skill details experience machine learning deep learning nlp python sql web crawling html css exprience less year monthscompany details company rnt ai technology solution description text classification using machine learning algorithms python practical knowledge deep learning algorithms recurrent neural networks rnn develop custom data models algorithms apply dataset experience python packages like pandas scikit learn tensor flow numpy matplotliv nltk comfort sql mysql sentiment analysis apply leave dataset using classification technique like tf idf lsa cosine similarity using machine learning algorithms web crawling using selenium web driver beautiful soup python company life insurance corporation india bhopal description explaining policy features benefits updated knowledge life insurance products shared customers,Data Science
expertise data quantitative analysis decision analytics predictive modeling data driven personalization kpi dashboards big data queries interpretation data mining visualization tools machine learning algorithms business intelligence bi research reports forecasts education details pgp data science mumbai maharashtra aegis school data science business electronics communication electronics communication indore madhya pradesh ies ips academy data scientist data scientist pr canada skill details algorithms exprience months bi exprience months business intelligence exprience months machine learning exprience months visualization exprience months spark exprience months python exprience months tableau exprience months data analysis exprience monthscompany details company aegis school data science business description mostly working industry project providing solution along teaching appointments teach undergraduate graduate level courses spark machine learning adjunct faculty member aegis school data science mumbai present company aegis school data business description data science intern nov jan furnish executive leadership team insights analytics reports recommendations enabling effective strategic planning across business units distribution channels product lines chat bot using aws lex tensor flow python goal project creates chat bot academic institution university handle queries related courses offered institute objective task reduce human efforts well reduce man made errors even companies handle client case companies academic institutions clients participants students web scraping using selenium web driver python task scrap data online messaging portal text format find pattern form data visualization data insights hadoop eco system hive pyspark qliksense goal project build business solutions internet service provider company like handling data generated per day basis visualize data find usage pattern form generate reports image based fraud detection microsoft face api pyspark open cv main goal project recognize similarity face given database images face recognition recognizing special face set different faces face extracted compared database image image recognized person already applied loan somewhere else hiding identity going prevent frauds initial stage churn analysis internet service provider python machine learning hadoop objective identify customer likely churn given period time pretend customer giving incentive offers sentiment analysis python nlp apache spark service ibm bluemix project highly emphasis tweets twitter data taken mobile networks service provider sentiment analysis analyze whether expressed opinion positive negative neutral capture emotions tweets comparative analysis quantifiable results mentored data science enthusiast year since gone graduate school data science business analytics reviewed evaluated research papers data science one largest data science conference called data science congress aegis school business mumbai heading solution providing organization called data science delivered aegis school data science mumbai managed live projects using data science techniques working social cause help data science social goods committee team developed product called let find missing child helping society company ibm india pvt ltd description mostly worked blumix ibm watson data science,Data Science
