clean_text,label
intro keepin jiggy bogle john sadiki gonna jiggy hook weddi weddi weddi weddi march march weddi weddi weddi weddi weddi weddi weddi weddi march march weddi weddi weddi weddi weddi weddi weddi march march weddi weddi weddi weddi weddi weddi weddi weddi dancers march weddi weddi weddi weddi weddi weddi weddi look outta road look outta road weddi weddi weddi weddi weddi weddi weddi weddi look outta road look outta road weddi weddi weddi weddi weddi weddi weddi iverson bounce iverson bounce weddi weddi weddi weddi weddi weddi weddi weddi iverson bounce iverson bounce weddi weddi weddi verse dem see war like pac biggy dance dance keeping jiggy da tune yah remind beat giggy dance dance keeping jiggy big legendary bob wha happen son ziggy dance dance keeping jiggy nadine sutherland send go call twiggy dance dance keeping jiggy bubbler favor ms piggy dance dance keeping jiggy outta asylum see bogle ribby dance dem dance keeping jiggy even mention diggy dance dem dance keeping jiggy mad michelle stacy none dem anuh dibby dibby dance dem dance keeping jiggy give dem slide tackle like whitmore bibby dance dance keeping jiggy big jungle tivoli ensome city dance dance keeping jiggy see park rock city aj free dem keep jiggy sadiki deh pon mother titty still dance hook weddi weddi weddi weddi weddi weddi weddi weddi weddi weddi weddi weddi alright alright weddi weddi weddi weddi weddi weddi weddi alright alright weddi weddi weddi weddi say ready weddi weddi weddi weddi say ready weddi weddi weddi weddi weddi weddi weddi mad march mad march weddi weddi weddi weddi weddi weddi weddi weddi mad march mad march weddi weddi weddi weddi weddi weddi weddi alright alright weddi weddi weddi weddi weddi weddi weddi weddi alright alright weddi weddi weddi verse police come fi lock dance nuh loud everybody dance named look outta road hear dem beat man deh board everybody inna dance look outta road record draw way screechie joe old ford everybody inna dance look look outta road look outta road everybody look outta road look outta road alright everybody make way john hype come shelly belly ryan iverson bounce high risen bump mix mad run high risen bump waan gyal gun high risen bump hand dem ground throw three pointer santa boom santa boom ding dong santa boom santa boom alright day dancing get nice response john bogle ice taking dancing higher heights dancers dance right back elite gyal know bleaching fix rights every gyal inna dance fi sunlight sunlight mi gyal sunlight dance sunlight dance hey ready fi take dem unuh give likkle room dance july go back til june use two hand like circle moon everybody inna dance start flowers bloom flowers bloom watch video man dem zoom flowers bloom clap hands flowers bloom flowers bloom everybody flowers bloom flowers bloom alright every dancer clasp hands pray pray father fi see another day cut clear evil way everybody inna dance make see start pray start pray know waan see another day start pray clasp hands prayer day prayer day dancers prayer day pr,pop
intro timbaland frk frk hey mean nothin hey hey verse nelly furtado day night say right say either got either stand fall broken slips hand time jokin hole plan chorus nelly furtado timbaland oh mean nothing hey oh oh hey mean nothing hey oh oh hey got takes set free hey oh oh hey oh could mean everything hey oh oh hey verse nelly furtado say say lost lost fault fault say say love light love dark say know alive feel feel could show show tonight tonight chorus nelly furtado timbaland oh mean nothing hey oh oh hey mean nothing hey oh oh hey got takes set free hey oh oh hey oh could mean everything hey oh oh hey verse nelly furtado hands could give something made mouth could sing another brick laid body body could show could show place place god knows god knows know space holy ah ah ah ah really wanna go three four outro timbaland hey hey hey mean nothin hey hey hey hey hey mean nothin hey hey,rb
chorus smokey robinson sample could let know love would begin could rap know love would capture yeah wanna ride wanna ride wanna ride wanna ride intro killa uhh ghetto soap opera right man harlem already know hustler mission trying get paper wifey like one minute next minute man know home watching lifetime internet gotta got verse uhh yo mommy toy pride joy would drive toys plus ride boy supply boys got live croix yes nine boy wore five boys chick shit shoot five roy load shoot five roy like job guys employ lifestyle enjoy livest doy doy hustler cam famous damn anus know change paint pop champagne stop car drop look dull damn paint would throw pout showing outgoing going things know got dough clout ways move know route baby girl close mouth cause feed well every sneaker hell eat louie shit gucci breathe chanel karl lagerfeld acting like gargamel car cop cell bar stop hell wrong said wrong always got song get along true skipped marriage bought six karats rather die nigga live average killa killa chorus smokey robinson sample could let know love would begin could rap know love would capture yeah wanna ride wanna ride wanna ride wanna ride verse yo yo uhh looking back school art crafts fucked half staff beat half class like dr dre though laugh nigga attitude meet math half half drink two chicks flip acid fast half tab could ask ass would dash laugh huh cash though baby whole ride hazy tell drive crazy got plans look sky baby fuck sara lee mrs smith pie lady fly lady fly baby gee baby please boo size crazy juaning foreign almond drop top charm alarming alerting reinsert leave earth huh interpret got mad leaned nursing said dirt time flirt watched see finish together rather business pleasure real killa chorus smokey robinson sample could let know love would begin could rap know love would capture yeah wanna ride wanna ride wanna ride wanna ride,rap
intro yooooooow inna di club gone yeah verse hair well plat gyal dem fat gwan bad tune dem drop one drop buss head back street vybz buss inna hear head top hook oh god party mad gyal dem say gaza party bad gyal dash way like crab outta bag zamunda gone high grade crush inna hand nuh waan see man par man gyal inna di club dem party pon dem say worl boss party gyal dem love mi pants dem straight dem love clarks dem lace hotskull nuh take bait hey bwoy tell straight say chorus nuh beg people inna raving even fi spend mi savings nuh know go inna grave right raving everybody jump play ting happy like pickney pon weekend nuh know go inna grave right raving verse lord right frass press gas right pon toll nearly crash oh gosh street vybz hash tommy lee glass drop mash mi say hook oh god party mad gyal dem say gaza party bad gyal dash way like crab outta bag zamundam gone high grade crush inna hand nuh waan see man par man gyal inna di club dem party pon dem say worl boss party gyal dem love mi pants dem straight dem love clarks dem lace hotskull nuh take bait hey bwoy tell straight say chorus nuh beg people inna raving even fi spend mi savings nuh know go inna grave right raving everybody jump play ting happy like pickney pon weekend nuh know go inna grave right raving verse hair well plat gyal dem fat gwan bad tune dem drop one drop buss head back street vybz buss inna hear head top hook oh god party mad gyal dem say gaza party bad gyal dash way like crab outta bag zamundam gone high grade crush inna hand nuh waan see man par man gyal inna di club dem party pon dem say worl boss party gyal dem love mi pants dem straight dem love clarks dem lace hotskull nuh take bait hey bwoy tell straight say chorus nuh beg people inna raving even fi spend mi savings nuh know go inna grave right raving everybody jump play ting happy like pickney pon weekend nuh know go inna grave right raving,pop
verse eyes proven wrong clouds blanket pity song hovering front lawn carry gone chorus river overrun swimming flood know thought felt touch water rising verse lie naked rampage flesh face face onset forget everything ever made rise slowly leave memory chorus river overrun swimming flood know thought felt touch water rising lovers raise cups chorus river overrun swimming flood know thought felt touch water rising lovers raise cups,rock
segue steve berman skit man whatever intro dre let run ayo turn beat little bit ayo song anyone fuck shut listen ayo verse sit back pack zig zag bag weed gives shit needed meanest mc earth since birth cursed curse curse blurt berserk bizarre shit works sells helps relieve tension dispensin sentences gettin stress eatin recently chest rest peacefully peacefully least decency leave alone freaks see streets eatin feedin daughter come speak speak know owe motherfuckin thing mr sync friends think mr friendly prick tempt tank empty empty patience offend liftin ten feet liftin ten feet air care saw jaw go call lawyer file lawsuit smile courtroom buy wardrobe tired mean mean chorus whatever say would say paper news every day radio even play jam cause whatever say would say paper news every day know way verse sometimes feel like father hate bothered nonsense constant oh lyrical content song guilty conscience gotten rotten responses controversy circles seems like media immediately points finger finger point one back em index pinkie ring thumb one put give fuck put bullshit pull cause full shit dude gettin bullied shoots school blame marilyn marilyn heroin parents look middle america tragedy sad see upper class city havin happenin happenin attack eminem cause rap way rap way glad cause feed fuel need fire burn burnin returned chorus whatever say would say paper news every day radio even play jam cause whatever say would say paper news every day know way verse sick tired bein admired wish would die get fired dropped label let stop fables gonna able top name pigeon holed poppy sensation cop rotation rock roll stations got patience got patience deal cocky caucasians think wigger tries black cause talk accent grab balls always keep askin fuckin questions fuckin questions school go hood grew til grabbin hair tearin cause drivin crazy drivin crazy take racin pacin stand sit thankful every fan get take shit bathroom without someone standin standin sign autograph call asshole glad chorus cause,rap
hook another day sunny la dealers streets coppers play got jeans crew neck sweater saggin pants cuz know better weather stay flyest killas side case suckas wanna try us numbers phone player feelin good think might run mayor might run mayor nigga ask momma muthafuckin player see girlfriend starin take word cousin oakland scraper jeans yeah flavor crew neck sweaters club fuck blazer button case bouncer hater straight bar couple shots jaeger see nice thin light skin game tell big mibbs runnin mayor digs speeds guess take back crib blaze modern joe frazier second round knock pull cock baby see later think around wake kick go pick paper hook might run mayor cruise city booger green pacer got ya girl wit player pullin hoes since bo jackson raider everything tailored chuck taylor check steering wheel car gator sip liquor straight need chasers drink pint hen cursin like sailor major sit back watch bought sweater swap meet music loud coppers wanna stop mad cuz young black makin broccoli hangin wit possie niggas wanna copy fly squares jock watch jock player feelin good think might run mayor hook yeah might run mayor scandalous papers la county planet gangsters get ya cameras tapers ya boy hustle hard like rambis lakers riding zoom boom wit base muffle fly space shuttle cool rain puddle wanna make trouble pimp hand heavy half stepping like old school daddy kane ya shame lames gone bitch make rain yea dames come decked hoes draw circles around tens ex boy check pose stan smith classic fresh grove look crept stove keep bad one like fresh vouge go shopping like fresh clothes gimme shopping bags popping tags smash side tracks homies talk trash sight see got pass mayor hook might run mayor feelin good think might run mayor,rap
verse jay first fat boys break every day wake somebody got problem hov niggas fed cause got little cheddar record movin store young fucks spittin young rappers gettin nigga big predicted shit exactly mo money mo problems gotta move carefully cause faggots hate gettin money like athletes youngins ice grillin oh feelin fine cost nothin pay mind look grind cousin got time frontin sensitive thugs need hugs damn little mans tryna record two mil tryna move three get couple chicks get em try hopefully nage reach garage want much fuck drove every car nice cooked food nice clean drawers bird ass niggas mean ruffle know waitin wing doin thing love chorus bobby bland jay love heart city said love love heart town yeah verse jay fugees gon break every day wake somebody got somethin say fuckin fussin grubbin pack heat like oven door niggas pray pray downfall every time hit ground bounce like roundball wanna kill soundboys wanna cock back four pound bar look scrapper got nephews look lookin dudes lookin past ya thought told characters rapper live told came take shit handle biz scramble like randall cunningham thing runnin numbers fam jigga held six summers damn love chorus bobby bland jay love heart city niggas love love heart town holla love take em church heart city uh uh uh uh nigga love love heart town fuck verse jay richard pryor go burn ike tina turner break wake bullshit knew records never disrespected successful pull shit nigga step porch step boss let end speculation talkin males jealous female trait mad cause push dimes sell weight know expenses gotta buy bigger plates haha baggies aggy nigga respect game eat make shit love love chorus bobby bland love heart city love heart town love heart city love heart town love heart city love heart town love,rap
intro haha dance verse back door cracked need key get free vip sleaze drink kool aid follow lead one us comin pre chorus time kill lights shut dj place tonight takin one getting chorus place blow oh oh oh oh oh oh oh blow oh oh oh oh oh oh oh place blow oh oh oh oh oh oh oh blow oh oh oh oh oh oh oh place blow oh oh oh oh oh oh oh blow oh oh oh oh oh oh oh place blow oh oh oh oh oh oh oh blow oh oh oh oh oh oh oh place verse taking control get want dirt glitter cover floor pretty sick young bored ha pre chorus time lose mind let crazy place tonight takin names cause mess around chorus place blow oh oh oh oh oh oh oh blow oh oh oh oh oh oh oh place blow oh oh oh oh oh oh oh blow oh oh oh oh oh oh oh place blow oh oh oh oh oh oh oh blow oh oh oh oh oh oh oh place blow oh oh oh oh oh oh oh blow oh oh oh oh oh oh oh place bridge go go go go insane go insane throw glitter make rain em let see hands let let see hands go insane go insane throw glitter make rain em let see hands let let see hands mon taking oh oh oh oh oh oh oh place blow oh oh oh oh oh oh oh get used okay blow oh oh oh oh oh oh oh chorus place blow oh oh oh oh oh oh oh blow oh oh oh oh oh oh oh place blow oh oh oh oh oh oh oh blow oh oh oh oh oh oh oh place blow oh oh oh oh oh oh oh blow oh oh oh oh oh oh oh place blow oh oh oh oh oh oh oh blow oh oh oh oh oh oh oh place,pop
intro puff daddy want ask one question twenty four hours live would deep shit right lot pressure would handle mase would verse mase yo turn hoes heterosexual smack conceited niggas right pedestal even look dad never knew show look beretta good shit like take kids ghetto show could never settle take every white kid high class level show em christmas like growin ghetto teach niggas spend stack rest give blunts niggas massive stress give every bum street cash invest hope harlem world blow last request verse jadakiss yo yo twenty four hours kick bucket fuck probably eat fried chicken drink nantucket go get jar branson make sure leave mother money take care grandson load three power hop eddie bauer go give six papi sold flour get fresh baldie make calls shop mall shoot lil ball bitches one telly time spread different floors gon play lotto even though gon tomorrow verse black rob know close ledge probably wedge bad spanish mami playin tween legs get choke smoke one dreads get bitch gave us feds thought momma wrote note close hate boyfriend put one throat fuck around sniff ounce raw bust four pause pull dick take piss floor jump whip get cats wanted get since tavern green robbery went home took shower ice cold water spend last hours son daughter chorus puff daddy twenty four hours live think would go would would screw would wanna notify would ass deny ass die twenty four hours live think would go would would screw would wanna notify would ass deny ass die verse sheek louch aiyyo twenty four nigga gotta get raw run papi spot put one head door times paid twenty gave twelve eight baking soda papi fuck dead bank bricks book bag stolen jag grabbed went grab bank teller pretty face fuck safe take place make kid selfish bad son shit pops twenty three strapped tnt run city hall take judges verse styles twenty four hours live probably die fifth run station squeezin inf waitin get hell bust satan styles shit got spot vacant back twenty four make precinct shootin niggas hate face eatin job robbin every called give money moms tell gone would school little brother niggas mean harm learn tell future without readin palms come bullets prepared bomb fuck bein violent get stocks bonds verse dmx twenty four left death gon waste lot lives cherish every breath know exactly goin send first shit doin send wo,rap
