book_id,authors,title
1,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)"
2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
3,Stephenie Meyer,"Twilight (Twilight, #1)"
4,Harper Lee,To Kill a Mockingbird
5,F. Scott Fitzgerald,The Great Gatsby
6,John Green,The Fault in Our Stars
7,J.R.R. Tolkien,The Hobbit
8,J.D. Salinger,The Catcher in the Rye
9,Dan Brown,"Angels & Demons  (Robert Langdon, #1)"
10,Jane Austen,Pride and Prejudice
11,Khaled Hosseini,The Kite Runner
12,Veronica Roth,"Divergent (Divergent, #1)"
13,"George Orwell, Erich Fromm, Celâl Üster",1984
14,George Orwell,Animal Farm
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl
16,"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)"
17,Suzanne Collins,"Catching Fire (The Hunger Games, #2)"
18,"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
19,J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)"
20,Suzanne Collins,"Mockingjay (The Hunger Games, #3)"
21,"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
22,Alice Sebold,The Lovely Bones
23,"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
24,"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)"
25,"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)"
26,Dan Brown,"The Da Vinci Code (Robert Langdon, #2)"
27,"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
28,William Golding,Lord of the Flies
29,"William Shakespeare, Robert           Jackson",Romeo and Juliet
30,Gillian Flynn,Gone Girl
31,Kathryn Stockett,The Help
32,John Steinbeck,Of Mice and Men
33,Arthur Golden,Memoirs of a Geisha
34,E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)"
35,"Paulo Coelho, Alan R. Clarke",The Alchemist
36,Lois Lowry,"The Giver (The Giver, #1)"
37,C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)"
38,Audrey Niffenegger,The Time Traveler's Wife
39,George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)"
40,Elizabeth Gilbert,"Eat, Pray, Love"
41,Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)"
42,Louisa May Alcott,"Little Women (Little Women, #1)"
43,"Charlotte Brontë, Michael Mason",Jane Eyre
44,Nicholas Sparks,"The Notebook (The Notebook, #1)"
45,Yann Martel,Life of Pi
46,Sara Gruen,Water for Elephants
47,Markus Zusak,The Book Thief
48,Ray Bradbury,Fahrenheit 451
49,Stephenie Meyer,"New Moon (Twilight, #2)"
50,Shel Silverstein,Where the Sidewalk Ends
51,Cassandra Clare,"City of Bones (The Mortal Instruments, #1)"
52,Stephenie Meyer,"Eclipse (Twilight, #3)"
53,Christopher Paolini,"Eragon (The Inheritance Cycle, #1)"
54,Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
55,Aldous Huxley,Brave New World
56,Stephenie Meyer,"Breaking Dawn (Twilight, #4)"
57,Sue Monk Kidd,The Secret Life of Bees
58,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn
59,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web
60,Mark Haddon,The Curious Incident of the Dog in the Night-Time
61,Paula Hawkins,The Girl on the Train
62,Philip Pullman,"The Golden Compass (His Dark Materials, #1)"
63,"Emily Brontë, Richard J. Dunn",Wuthering Heights
64,Jodi Picoult,My Sister's Keeper
65,Kurt Vonnegut Jr.,Slaughterhouse-Five
66,Margaret Mitchell,Gone with the Wind
67,Khaled Hosseini,A Thousand Splendid Suns
68,Stephen Chbosky,The Perks of Being a Wallflower
69,Veronica Roth,"Insurgent (Divergent, #2)"
70,Orson Scott Card,"Ender's Game (Ender's Saga, #1)"
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein
72,Stephen King,The Shining (The Shining #1)
73,Stephenie Meyer,"The Host (The Host, #1)"
74,John Green,Looking for Alaska
75,Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)"
76,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility
77,"Louis Sachar, Louis Sachar","Holes (Holes, #1)"
78,Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)"
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince
81,Jeannette Walls,The Glass Castle
82,Jon Krakauer,Into the Wild
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities
84,Michael Crichton,"Jurassic Park (Jurassic Park, #1)"
85,Shel Silverstein,The Giving Tree
86,John Grisham,A Time to Kill
87,"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1)
88,John Green,Paper Towns
89,William Goldman,The Princess Bride 
90,S.E. Hinton,The Outsiders
91,James Dashner,"The Maze Runner (Maze Runner, #1)"
92,"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)"
93,Frances Hodgson Burnett,The Secret Garden
94,"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude
95,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray
96,E.L. James,"Fifty Shades Freed (Fifty Shades, #3)"
97,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula
98,"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)"
99,E.L. James,"Fifty Shades Darker (Fifty Shades, #2)"
100,Barbara Kingsolver,The Poisonwood Bible
101,David Sedaris,Me Talk Pretty One Day
102,Maurice Sendak,Where the Wild Things Are
103,"Alexandre Dumas, Robin Buss",The Count of Monte Cristo
104,Cormac McCarthy,The Road
105,Veronica Roth,"Allegiant (Divergent, #3)"
106,Tina Fey,Bossypants
107,Nicholas Sparks,A Walk to Remember
108,Sophie Kinsella,"Confessions of a Shopaholic (Shopaholic, #1)"
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables
110,George R.R. Martin,"A Clash of Kings  (A Song of Ice and Fire, #2)"
111,Kim Edwards,The Memory Keeper's Daughter
112,Jojo Moyes,"Me Before You (Me Before You, #1)"
113,Joseph Heller,Catch-22
114,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie
115,Jeffrey Eugenides,Middlesex
116,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer
117,Madeleine L'Engle,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)"
118,Amy Tan,The Joy Luck Club
119,Margaret Atwood,The Handmaid's Tale
120,Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)"
121,"Vladimir Nabokov, Craig Raine",Lolita
122,"Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)"
123,John Grisham,"The Firm (Penguin Readers, Level 5)"
124,Emma Donoghue,Room
125,"William Shakespeare, Richard Andrews, Rex Gibson",Hamlet
126,Frank Herbert,Dune (Dune Chronicles #1)
127,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference
128,Walter Isaacson,Steve Jobs
129,Ken Kesey,One Flew Over the Cuckoo's Nest
130,Ernest Hemingway,The Old Man and the Sea
131,John Steinbeck,The Grapes of Wrath
132,Mitch Albom,The Five People You Meet in Heaven
133,L.M. Montgomery,"Anne of Green Gables (Anne of Green Gables, #1)"
134,Cassandra Clare,"City of Glass (The Mortal Instruments, #3)"
135,George R.R. Martin,"A Storm of Swords (A Song of Ice and Fire, #3)"
136,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood
137,Diana Gabaldon,"Outlander (Outlander, #1)"
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter
139,Ransom Riggs,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)"
140,"Stieg Larsson, Reg Keeland","The Girl Who Kicked the Hornet's Nest (Millennium, #3)"
141,Andy Weir,The Martian
142,Ken Follett,"The Pillars of the Earth (The Kingsbridge Series, #1)"
143,Anthony Doerr,All the Light We Cannot See
144,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption"
145,Dan Brown,Deception Point
146,Donna Tartt,The Goldfinch
147,Jay Asher,Thirteen Reasons Why
148,Tracy Chevalier,Girl with a Pearl Earring
149,Gayle Forman,"If I Stay (If I Stay, #1)"
150,Anita Diamant,The Red Tent
151,Rick Riordan,"The Sea of Monsters (Percy Jackson and the Olympians, #2)"
152,Nicholas Sparks,Dear John
153,Cassandra Clare,"City of Ashes (The Mortal Instruments, #2)"
154,William Shakespeare,Macbeth
155,J.R.R. Tolkien,"The Two Towers (The Lord of the Rings, #2)"
156,Emily Giffin,"Something Borrowed (Darcy & Rachel, #1)"
157,"Dr. Seuss, לאה נאור",Green Eggs and Ham
158,"Roald Dahl, Quentin Blake","Charlie and the Chocolate Factory (Charlie Bucket, #1)"
159,Rick Riordan,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)"
160,Charles Dickens,Great Expectations
161,J.R.R. Tolkien,"The Return of the King (The Lord of the Rings, #3)"
162,"Albert Camus, Matthew    Ward",The Stranger
163,Rick Riordan,"The Lost Hero (The Heroes of Olympus, #1)"
164,Rainbow Rowell,Eleanor & Park
165,George R.R. Martin,"A Feast for Crows (A Song of Ice and Fire, #4)"
166,Ally Condie,"Matched (Matched, #1)"
167,Neil Gaiman,"American Gods (American Gods, #1)"
168,"Stephen King, Bernie Wrightson",The Stand
169,Nicholas Sparks,The Last Song
170,Dan Brown,Digital Fortress
171,"Jane Austen, Fiona Stafford",Emma
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Anna Karenina
173,Anthony Burgess,A Clockwork Orange
174,William Paul Young,The Shack
175,Rick Riordan,"The Last Olympian (Percy Jackson and the Olympians, #5)"
176,Stephen King,It
177,"Fyodor Dostoyevsky, David McDuff",Crime and Punishment
178,Sylvia Plath,The Bell Jar
179,Frank McCourt,"Angela's Ashes (Frank McCourt, #1)"
180,"Hermann Hesse, Hilda Rosner",Siddhartha
181,Truman Capote,In Cold Blood
182,"Kami Garcia, Margaret Stohl","Beautiful Creatures (Caster Chronicles, #1)"
183,Cassandra Clare,"Clockwork Angel (The Infernal Devices, #1)"
184,"Roald Dahl, Quentin Blake",Matilda
185,Erin Morgenstern,The Night Circus
186,Philippa Gregory,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)"
187,Scott Westerfeld,"Uglies (Uglies, #1)"
188,George R.R. Martin,"A Dance with Dragons (A Song of Ice and Fire, #5)"
189,J.R.R. Tolkien,"The Lord of the Rings (The Lord of the Rings, #1-3)"
190,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail
191,"Alan Moore, Dave Gibbons, John Higgins",Watchmen
192,Patrick Rothfuss,"The Name of the Wind (The Kingkiller Chronicle, #1)"
193,Malcolm Gladwell,Outliers: The Story of Success
194,"Herman Melville, Andrew Delbanco, Tom Quirk","Moby-Dick or, The Whale"
195,"Mary Ann Shaffer, Annie Barrows",The Guernsey Literary and Potato Peel Pie Society
196,Chuck Palahniuk,Fight Club
197,Charlaine Harris,"Dead Until Dark (Sookie Stackhouse, #1)"
198,Alice Walker,The Color Purple
199,John Grogan,Marley and Me: Life and Love With the World's Worst Dog
200,Agatha Christie,And Then There Were None
201,Dan Brown,"The Lost Symbol (Robert Langdon, #3)"
202,Becca Fitzpatrick,"Hush, Hush (Hush, Hush, #1)"
203,Jamie McGuire,"Beautiful Disaster (Beautiful, #1)"
204,Charles Dickens,A Christmas Carol
205,Anne Rice,"Interview with the Vampire (The Vampire Chronicles, #1)"
206,Kiera Cass,"The Selection (The Selection, #1)"
207,Janet Evanovich,"One for the Money (Stephanie Plum, #1)"
208,Rebecca Skloot,The Immortal Life of Henrietta Lacks
209,Thomas Harris,"The Silence of the Lambs  (Hannibal Lecter, #2)"
210,Richelle Mead,"Vampire Academy (Vampire Academy, #1)"
211,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking
212,Ian McEwan,Atonement
213,"Franz Kafka, Stanley Corngold",The Metamorphosis
214,Rick Riordan,"The Titan's Curse (Percy Jackson and the Olympians, #3)"
215,Ernest Cline,Ready Player One
216,Garth Stein,The Art of Racing in the Rain
217,"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"
218,Sylvia Day,"Bared to You (Crossfire, #1)"
219,"C.S. Lewis, Pauline Baynes","The Chronicles of Narnia (Chronicles of Narnia, #1-7)"
220,Mark Cotta Vaz,Twilight: The Complete Illustrated Movie Companion
221,Dave Pelzer,"A Child Called ""It"" (Dave Pelzer #1)"
222,Robert Ludlum,"The Bourne Identity (Jason Bourne, #1)"
223,Eoin Colfer,"Artemis Fowl (Artemis Fowl, #1)"
224,Lauren Kate,"Fallen (Fallen, #1)"
225,John Steinbeck,East of Eden
226,Gillian Flynn,Dark Places
227,John Grisham,The Client
228,"Emma McLaughlin, Nicola Kraus","The Nanny Diaries (Nanny, #1)"
229,"Lewis Carroll, John Tenniel, Martin Gardner",Alice's Adventures in Wonderland & Through the Looking-Glass
230,"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion
231,Tatiana de Rosnay,Sarah's Key
232,Stephen King,"The Gunslinger (The Dark Tower, #1)"
233,"Gabriel García Márquez, Edith Grossman",Love in the Time of Cholera
234,Laurie Halse Anderson,Speak
235,Liane Moriarty,The Husband's Secret
236,Jon Krakauer,Into Thin Air: A Personal Account of the Mount Everest Disaster
237,Stephen King,Carrie
238,Augusten Burroughs,Running with Scissors
239,Max Brooks,World War Z: An Oral History of the Zombie War
240,Dan Brown,"Inferno (Robert Langdon, #4)"
241,Lois Lowry,Number the Stars
242,James Patterson,"Along Came a Spider (Alex Cross, #1)"
243,Stephen King,Misery
244,Gillian Flynn,Sharp Objects
245,Katherine Paterson,Bridge to Terabithia
246,"P.C. Cast, Kristin Cast","Marked (House of Night, #1)"
247,Stephen R. Covey,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change
248,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream
249,Jonathan Safran Foer,Extremely Loud and Incredibly Close
250,R.J. Palacio,Wonder
251,Dr. Seuss,The Cat in the Hat
252,Marissa Meyer,"Cinder (The Lunar Chronicles, #1)"
253,"Robert Galbraith, J.K. Rowling","The Cuckoo's Calling (Cormoran Strike, #1)"
254,Maggie Stiefvater,"Shiver (The Wolves of Mercy Falls, #1)"
255,"Ayn Rand, Leonard Peikoff",Atlas Shrugged
256,"Greg Mortenson, David Oliver Relin",Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time
257,"Jane Carruth, Lewis Carroll, Rene Cloke",Alice in Wonderland
258,"Carlos Ruiz Zafón, Lucia Graves","The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)"
259,James Dashner,"The Scorch Trials (Maze Runner, #2)"
260,Dale Carnegie,How to Win Friends and Influence People
261,Frances Mayes,Under the Tuscan Sun
262,Liane Moriarty,Big Little Lies
263,Gail Carson Levine,Ella Enchanted
264,Ernest Hemingway,The Sun Also Rises
265,Betty  Smith,A Tree Grows in Brooklyn
266,James Patterson,"Kiss the Girls (Alex Cross, #2)"
267,Kristin Hannah,The Nightingale
268,Kazuo Ishiguro,Never Let Me Go
269,Cecelia Ahern,P.S. I Love You
270,"Daphne du Maurier, Sally Beauman",Rebecca
271,Daniel Keyes,Flowers for Algernon
272,"Laura Esquivel, Thomas  Christensen, Carol Christensen",Like Water for Chocolate
273,Lisa See,Snow Flower and the Secret Fan
274,"Mario Puzo, Robert Thompson, Peter Bart",The Godfather
275,John Green,An Abundance of Katherines
276,Isaac Asimov,Foundation (Foundation #1)
277,Neil Gaiman,The Ocean at the End of the Lane
278,Shel Silverstein,A Light in the Attic
279,"John Tiffany, Jack Thorne, J.K. Rowling","Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)"
280,Lauren Oliver,"Delirium (Delirium, #1)"
281,John Grisham,The Pelican Brief
282,Neil Gaiman,Coraline
283,"Terry Pratchett, Neil Gaiman","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
284,Jack Kerouac,On the Road
285,Graeme Simsion,"The Rosie Project (Don Tillman, #1)"
286,Nicholas Sparks,The Lucky One
287,"Ayn Rand, Leonard Peikoff",The Fountainhead
288,Tom Clancy,"The Hunt for Red October (Jack Ryan Universe, #4)"
289,Richard Adams,"Watership Down (Watership Down, #1)"
290,Mindy Kaling,Is Everyone Hanging Out Without Me? (And Other Concerns)
291,Abraham Verghese,Cutting for Stone
292,"C.S. Lewis, Pauline Baynes","The Voyage of the Dawn Treader (Chronicles of Narnia, #3)"
293,Robert Louis Stevenson,Treasure Island
294,Rick Riordan,"The Son of Neptune (The Heroes of Olympus, #2)"
295,Stephen King,11/22/63
296,Eric Carle,The Very Hungry Caterpillar Board Book
297,Kurt Vonnegut Jr.,Cat's Cradle
298,"H.G. Wells, Greg Bear, Carlo Pagetti",The Time Machine
299,"Todd Burpo, Lynn Vincent",Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back
300,John Boyne,The Boy in the Striped Pajamas
301,Joseph Conrad,Heart of Darkness
302,Nicholas Sparks,Safe Haven
303,Rhonda Byrne,"The Secret (The Secret, #1)"
304,Wally Lamb,I Know This Much Is True
305,Stephen King,Pet Sematary
306,Wally Lamb,She's Come Undone
307,Patrick Rothfuss,"The Wise Man's Fear (The Kingkiller Chronicle, #2)"
308,Sophie Kinsella,Can You Keep a Secret?
309,Cassandra Clare,"City of Fallen Angels (The Mortal Instruments, #4)"
310,Jennifer Weiner,"Good in Bed (Cannie Shapiro, #1)"
311,Colleen McCullough,The Thorn Birds
312,"Neil Gaiman, Dave McKean",The Graveyard Book
313,M.L. Stedman,The Light Between Oceans
314,"Cornelia Funke, Anthea Bell","Inkheart (Inkworld, #1)"
315,"Spencer Johnson, Kenneth H. Blanchard",Who Moved My Cheese?
316,Bill Bryson,A Walk in the Woods
317,Maya Angelou,I Know Why the Caged Bird Sings
318,Christina Baker Kline,Orphan Train
319,Cassandra Clare,"City of Lost Souls (The Mortal Instruments, #5)"
320,Maria Semple,"Where'd You Go, Bernadette"
321,Wilson Rawls,Where the Red Fern Grows
322,Neil Gaiman,Neverwhere
323,"Milan Kundera, Michael Henry Heim",The Unbearable Lightness of Being
324,Rainbow Rowell,Fangirl
325,John Irving,A Prayer for Owen Meany
326,Janet Fitch,White Oleander
327,Marie Lu,"Legend (Legend, #1)"
328,Jodi Picoult,Nineteen Minutes
329,"Randy Pausch, Jeffrey Zaslow",The Last Lecture
330,Robert Jordan,"The Eye of the World (Wheel of Time, #1)"
331,Jodi Picoult,The Pact
332,C.S. Lewis,"The Magician's Nephew (Chronicles of Narnia, #6)"
333,Lisa Genova,Still Alice
334,Sylvia Day,"Reflected in You (Crossfire, #2)"
335,"Roald Dahl, Quentin Blake",James and the Giant Peach
336,James Patterson,"1st to Die (Women's Murder Club, #1)"
337,Douglas Adams,The Ultimate Hitchhiker's Guide to the Galaxy
338,David Nicholls,One Day
339,"Margaret Wise Brown, Clement Hurd",Goodnight Moon
340,Pittacus Lore,"I Am Number Four (Lorien Legacies, #1)"
341,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",The Iliad
342,J.K. Rowling,The Casual Vacancy
343,John Grisham,The Runaway Jury
344,David Sedaris,Naked
345,Christopher Paolini,"Eldest (The Inheritance Cycle, #2)"
346,"L. Frank Baum, W.W. Denslow","The Wonderful Wizard of Oz (Oz, #1)"
347,C.S. Lewis,"Prince Caspian (Chronicles of Narnia, #2)"
348,E. Lockhart,We Were Liars
349,Stephen King,'Salem's Lot
350,"Hunter S. Thompson, Ralph Steadman",Fear and Loathing in Las Vegas
351,Cassandra Clare,"Clockwork Prince (The Infernal Devices, #2)"
352,Amy Poehler,Yes Please
353,William Shakespeare,Othello
354,Toni Morrison,Beloved
355,Kristin Cashore,"Graceling (Graceling Realm, #1)"
356,"Lemony Snicket, Brett Helquist","The Bad Beginning (A Series of Unfortunate Events, #1)"
357,"Erich Maria Remarque, A.W. Wheen",All Quiet on the Western Front
358,Dr. Seuss,"Oh, The Places You'll Go!"
359,Khaled Hosseini,And the Mountains Echoed
360,"Philip K. Dick, Roger Zelazny",Do Androids Dream of Electric Sheep?
361,"Charles Dickens, George Cruikshank, Philip Horne",Oliver Twist
362,C.S. Lewis,The Screwtape Letters
363,Stephanie Perkins,"Anna and the French Kiss (Anna and the French Kiss, #1)"
364,Dr. Seuss,How the Grinch Stole Christmas!
365,"Alan Moore, David   Lloyd",V for Vendetta
366,David McCullough,John Adams
367,Dean Koontz,"Odd Thomas (Odd Thomas, #1)"
368,Philip Pullman,"The Subtle Knife (His Dark Materials, #2)"
369,Jerry Spinelli,"Stargirl (Stargirl, #1)"
370,Rick Riordan,"The Red Pyramid (Kane Chronicles, #1)"
371,Robert A. Heinlein,Stranger in a Strange Land
372,David Sedaris,Dress Your Family in Corduroy and Denim
373,"Roald Dahl, Quentin Blake",The BFG
374,Bill Bryson,A Short History of Nearly Everything
375,Jack London,The Call of the Wild
376,James Dashner,"The Death Cure (Maze Runner, #3)"
