user,item,rating
11,111,2
11,11,4
11,94,5
11,522,3
11,426,4
11,495,3
11,574,3
11,26,3
11,33,4
11,233,5
11,47,4
164,94,5
164,181,5
164,11,5
164,217,5
196,24,5
196,18,5
196,55,5
204,8,4
204,121,5
204,36,3
204,483,5
204,1797,5
204,115,5
204,11,4
204,65,3
204,94,4
204,662,3
196,321,4
196,36,5
196,856,4
196,1290,5
196,87,5
196,608,5
196,8,4
319,1797,4
319,371,5
319,162,4
319,400,5
319,829,3
319,701,3
319,410,3
319,130,3
319,264,3
319,225,4
319,1519,4
319,442,5
319,1142,4
319,1937,4
319,325,3
319,43,3
319,546,4
319,103,4
319,461,3
319,468,3
319,70,5
319,760,3
319,1646,3
319,1213,3
319,48,5
319,173,5
319,213,5
319,89,3
319,160,3
319,1476,4
319,42,5
319,138,3
319,1186,3
319,974,4
319,2047,3
319,2406,3
319,496,4
319,1530,5
319,1196,4
319,722,2
319,1023,2
319,1119,2
319,1362,3
319,1278,2
319,510,3
319,330,3
319,528,3
319,949,2
319,87,3
319,1088,4
319,456,3
319,620,4
319,113,5
319,126,5
319,101,5
319,45,5
319,1528,4
319,1329,5
361,982,3
361,658,1
361,1053,5
361,936,4
361,237,4
361,806,4
361,911,3
361,243,3
361,612,4
361,675,2
361,72,5
361,865,2
361,168,5
361,1123,2
361,488,5
361,305,2
361,967,3
361,705,3
361,205,4
361,898,5
361,1217,3
361,1633,5
361,1993,5
361,1096,4
361,731,2
361,1411,3
361,1503,5
361,883,2
361,265,5
361,4,4
361,1214,3
361,1135,5
361,456,5
361,248,2
361,349,3
361,179,5
361,958,5
361,42,2
361,66,5
361,95,5
361,118,2
361,531,5
361,7,3
361,743,5
361,83,3
361,361,3
361,590,3
361,204,4
384,741,4
384,501,5
319,136,3
400,881,5
400,104,2
400,22,1
488,109,5
488,173,4
488,14,5
488,55,4
488,597,5
488,316,5
488,103,5
488,225,5
488,11,4
488,765,5
488,485,3
367,1487,4
11,587,3
11,1315,5
488,568,5
367,284,5
367,1250,2
367,1571,3
488,100,5
488,767,4
488,194,4
488,180,3
488,606,4
488,378,5
488,374,5
488,130,4
488,264,3
488,1031,3
488,405,5
488,65,5
488,54,5
488,45,5
488,1154,5
488,866,3
488,413,4
488,860,4
488,117,3
488,570,3
488,33,3
488,1561,3
488,10,3
488,13,4
488,38,4
488,32,5
488,48,3
488,172,3
488,114,4
582,1299,4
624,18,4
624,21,3
624,117,4
624,1196,3
624,160,2
624,100,1
624,7,5
488,113,4
488,15,4
488,36,3
488,148,3
488,479,3
488,1283,3
488,229,4
488,213,5
488,205,4
488,1938,3
488,1168,3
488,1236,3
488,122,3
488,436,3
488,1887,4
488,706,4
488,1204,4
488,1650,5
488,390,4
488,4,4
488,28,5
488,360,4
488,403,3
488,637,4
488,162,3
488,468,3
488,83,4
488,44,4
488,484,4
488,196,4
488,531,4
488,8,5
488,347,4
488,27,4
488,21,4
488,2,3
488,23,3
488,24,4
488,18,3
488,530,4
488,357,3
488,71,4
624,265,3
624,1969,4
624,550,5
624,704,2
624,126,5
624,2616,3
624,663,5
624,1096,4
624,2015,1
624,604,2
624,413,4
488,22,3
488,561,3
488,398,4
725,915,2
725,1139,1
725,1423,2
725,660,3
725,476,5
725,325,5
725,2089,4
725,1936,4
725,1161,5
725,119,5
725,883,5
725,2561,2
725,860,3
725,64,3
725,908,3
725,331,3
725,328,3
725,640,1
725,1296,2
725,1592,1
725,693,3
725,162,5
725,872,5
725,354,5
725,171,5
725,76,5
725,230,5
725,471,5
725,451,4
725,2172,5
725,205,2
725,461,5
725,658,5
725,496,4
725,2406,2
725,820,5
725,177,5
725,133,3
11,211,3
11,2107,3
750,249,5
750,115,5
750,5,3
750,55,4
750,557,3
751,27,5
751,18,5
751,867,3
751,24,4
751,2,5
751,21,4
751,23,3
751,26,4
751,9,5
751,186,4
751,148,5
751,1171,5
751,64,4
751,150,5
751,92,4
751,122,4
751,2192,2
751,11,4
751,57,4
751,66,5
751,10,5
751,8,4
751,5,4
751,36,4
751,50,5
751,60,4
750,718,3
750,23,2
750,13,4
750,27,4
750,21,3
752,217,4
752,1068,5
752,640,3
752,919,5
752,733,5
752,2252,3
752,114,4
752,969,3
752,426,4
752,179,5
752,407,3
752,132,2
750,8,3
750,2601,1
750,113,3
750,1272,3
750,736,3
624,272,4
624,38,3
624,595,4
624,42,3
624,341,4
624,79,5
624,561,3
624,59,4
624,219,4
624,718,4
624,1094,2
624,119,5
624,763,4
624,407,3
624,148,2
624,730,1
624,75,2
624,180,3
624,646,4
624,1518,3
624,1785,3
624,826,3
624,637,3
624,357,4
624,529,4
624,95,3
624,296,4
624,289,4
750,11,3
750,977,3
750,1171,3
750,48,4
624,233,4
624,306,3
624,538,3
624,66,3
624,172,1
624,85,4
624,198,3
624,468,4
624,408,5
624,1315,2
367,1518,4
367,407,5
793,337,3
793,1431,2
793,37,4
793,89,3
793,386,2
793,80,4
793,661,4
793,90,3
793,868,3
793,1248,1
793,703,3
793,219,4
793,245,4
793,339,3
793,577,3
793,2415,2
793,1788,4
793,1010,4
793,97,4
793,288,4
793,15,3
793,204,3
793,1367,3
793,530,3
793,21,4
793,608,4
793,1128,4
793,528,3
793,330,3
793,510,2
793,722,2
793,949,2
793,180,2
793,138,2
793,93,3
793,48,3
793,132,3
793,1526,2
793,315,2
793,626,2
793,189,4
793,857,4
793,293,3
793,531,3
816,595,4
793,32,3
793,19,4
793,1984,3
793,432,3
793,1223,4
793,1322,4
750,26,3
793,512,4
793,639,3
793,373,3
793,157,4
816,70,5
816,760,5
816,481,5
816,1071,5
816,1536,3
816,1638,1
816,1989,2
816,1759,5
816,1193,5
816,245,5
816,23,3
816,28,2
816,58,4
816,32,5
816,2,2
816,1312,4
816,180,5
816,1015,5
816,29,1
816,125,3
816,984,2
816,1025,4
816,54,5
816,89,5
816,557,3
816,14,1
751,63,4
751,102,4
751,1469,4
751,829,3
841,113,5
841,2027,5
841,301,4
841,115,4
841,323,4
841,516,4
841,121,5
841,104,4
841,1121,5
841,468,4
841,383,1
841,22,3
841,614,5
841,213,5
841,162,5
841,872,4
841,508,4
841,79,5
841,1280,5
841,1704,5
841,2172,4
841,2098,3
841,1074,4
841,1676,4
841,959,5
841,1214,5
841,1797,5
841,424,4
841,2259,5
841,546,3
841,1179,3
841,592,4
841,173,4
841,984,5
841,1519,4
841,400,4
841,1800,4
841,160,4
841,194,5
841,1908,3
841,2464,4
841,284,5
841,729,4
