user,item,rating
1,1,4.0
1,3,4.0
1,6,4.0
1,47,5.0
1,110,4.0
1,151,5.0
1,163,5.0
1,223,3.0
1,231,5.0
1,235,4.0
1,316,3.0
1,333,5.0
1,349,4.0
1,356,4.0
1,362,5.0
1,441,4.0
1,457,5.0
1,480,4.0
1,500,3.0
1,543,4.0
1,552,4.0
1,590,4.0
1,596,5.0
1,608,5.0
1,648,3.0
1,661,5.0
1,733,4.0
1,736,3.0
1,919,5.0
1,954,5.0
1,1023,5.0
1,1025,5.0
1,1029,5.0
1,1030,3.0
1,1031,5.0
1,1042,4.0
1,1049,5.0
1,1060,4.0
1,1073,5.0
1,1080,5.0
1,1089,5.0
1,1127,4.0
1,1136,5.0
1,1196,5.0
1,1197,5.0
1,1198,5.0
1,1206,5.0
1,1208,4.0
1,1213,5.0
1,1219,2.0
1,1220,5.0
1,1240,5.0
1,1256,5.0
1,1258,3.0
1,1265,4.0
1,1275,5.0
1,1282,5.0
1,1291,5.0
1,1298,5.0
1,1377,3.0
1,1396,3.0
1,1408,3.0
1,1500,4.0
1,1517,5.0
1,1552,4.0
1,1580,3.0
1,1587,5.0
1,1617,5.0
1,1620,4.0
1,1625,5.0
1,1644,3.0
1,1676,3.0
1,1920,4.0
1,1954,5.0
1,1967,4.0
1,2000,4.0
1,2005,5.0
1,2012,4.0
1,2018,5.0
1,2028,4.0
1,2054,4.0
1,2078,5.0
1,2090,5.0
1,2094,5.0
1,2096,4.0
1,2105,4.0
1,2116,5.0
1,2137,5.0
1,2139,5.0
1,2141,5.0
1,2143,4.0
1,2174,4.0
1,2193,4.0
1,2253,2.0
1,2268,4.0
1,2291,5.0
1,2329,5.0
1,2338,2.0
1,2366,4.0
1,2387,5.0
1,2395,5.0
1,2406,4.0
1,2427,5.0
1,2450,4.0
1,2459,5.0
1,2470,5.0
1,2478,4.0
1,2502,5.0
1,2528,3.0
1,2529,5.0
1,2571,5.0
1,2580,5.0
1,2616,4.0
1,2617,2.0
1,2628,4.0
1,2641,5.0
1,2648,4.0
1,2657,3.0
1,2692,5.0
1,2700,5.0
1,2716,5.0
1,2761,5.0
1,2797,4.0
1,2826,4.0
1,2858,5.0
1,2872,5.0
1,2944,5.0
1,2947,5.0
1,2959,5.0
1,2985,4.0
1,2991,5.0
1,2993,5.0
1,2997,4.0
1,3034,5.0
1,3052,5.0
1,3147,5.0
1,3176,1.0
1,3247,3.0
1,3253,5.0
1,3273,5.0
1,3386,5.0
1,3439,4.0
1,3440,4.0
1,3441,5.0
1,3448,5.0
1,3479,4.0
1,3489,4.0
1,3527,4.0
1,3578,5.0
1,3617,4.0
1,3639,4.0
1,3671,5.0
1,3702,5.0
1,3703,5.0
1,3740,4.0
1,3809,4.0
1,5060,5.0
2,1704,4.5
2,8798,3.5
2,46970,4.0
2,48516,4.0
2,58559,4.5
2,60756,5.0
2,68157,4.5
2,71535,3.0
2,74458,4.0
2,77455,3.0
2,79132,4.0
2,80489,4.5
2,80906,5.0
2,91658,2.5
2,99114,3.5
2,106782,5.0
2,109487,3.0
2,112552,4.0
2,115713,3.5
2,122882,5.0
3,31,0.5
3,527,0.5
3,647,0.5
3,720,0.5
3,914,0.5
3,1093,0.5
3,1263,0.5
3,1275,3.5
3,1302,0.5
3,1371,3.0
3,1587,4.5
3,2080,0.5
3,2090,0.5
3,2105,2.0
3,2288,4.0
3,2424,0.5
3,3210,0.5
3,3703,5.0
3,3949,0.5
3,72378,0.5
4,32,2.0
4,45,3.0
4,47,2.0
4,52,3.0
4,125,5.0
4,162,5.0
4,215,5.0
4,222,1.0
4,232,5.0
4,235,2.0
4,247,3.0
4,260,5.0
4,265,5.0
4,296,1.0
4,319,5.0
4,342,5.0
4,345,4.0
4,348,4.0
4,351,3.0
4,357,3.0
4,368,4.0
4,417,2.0
4,441,1.0
4,457,5.0
4,475,5.0
4,492,5.0
4,538,5.0
4,553,2.0
4,588,4.0
4,593,5.0
4,595,3.0
4,648,3.0
4,708,4.0
4,892,4.0
4,898,5.0
4,899,4.0
4,902,4.0
4,910,5.0
4,912,5.0
4,914,5.0
4,919,5.0
4,920,5.0
4,930,5.0
4,1025,4.0
4,1057,3.0
4,1060,2.0
4,1073,4.0
4,1080,5.0
