id,name
1,MALICE MIZER
2,Diary of Dreams
3,Carpathian Forest
4,Moi dix Mois
5,Bella Morte
6,Moonspell
7,Marilyn Manson
8,DIR EN GREY
9,Combichrist
10,Grendel
11,Agonoize
12,Behemoth
13,Hocico
15,Dimmu Borgir
16,London After Midnight
17,Psyclon Nine
18,The Crüxshadows
19,:wumpscut:
20,Limbonic Art
21,Artista sconosciuto
22,xotox
23,The Kovenant
24,Feindflug
25,Cradle of Filth
26,Tamtrum
27,Laibach
28,Gorgoroth
30,And One
31,Amduscia
32,Covenant
34,Icon of Coil
36,KMFDM
37,Funker Vogt
38,Dawn of Ashes
39,Sopor Aeternus & The Ensemble of Shadows
40,The Faint
41,God Module
43,Noisuf-X
44,Das Ich
45,Mindless Self Indulgence
46,Pyotr Ilyich Tchaikovsky
47,Emperor
48,Anorexia Nervosa
49,Reaper
50,Gothminister
51,Duran Duran
52,Morcheeba
53,Air
54,Hooverphonic
55,Kylie Minogue
56,Daft Punk
57,Thievery Corporation
58,Goldfrapp
59,New Order
60,Matt Bianco
61,Talk Talk
62,Prefab Sprout
63,Enigma
64,Röyksopp
65,Coldplay
66,Faithless
67,Madonna
68,Icehouse
69,Sade
70,Moby
71,Dido
72,Depeche Mode
73,Café Del Mar
74,Basia
75,Camouflage
76,Electronic
77,George Michael
78,The Adventures
79,Fiction Factory
80,Groove Armada
81,Portishead
82,Marc Almond
83,Cock Robin
84,Cut Copy
85,Spandau Ballet
86,Katie Melua
87,Deacon Blue
88,Gorillaz
89,Lady Gaga
90,Kosheen
91,Nik Kershaw
92,Vitamin Z
93,Jean-Michel Jarre
94,Ministry of Sound
95,Simply Red
96,Fleetwood Mac
97,Duffy
98,Japan
99,INXS
100,ABC
101,Pleq
102,Segue
103,Max Richter
104,Celer
105,Pjusk
106,Pleq & Segue
107,Burial
108,Magnitophono
109,andy graydon
110,ddekombinacja
111,Pleq & Anna Rose Carter
112,Go Koyashiki
113,Dustin O'Halloran
114,offthesky
115,Nebulo
116,Fjordne
117,Pleq & Chihiro
118,Spyweirdos
119,billy gomberg + offthesky
120,Deru
121,Lukid
122,Manekinekod
123,Danny Norbury
124,Shinkei & Mise En Scene
125,aslope
126,The Notwist
127,Off the Sky
128,strom noir
129,Aless
130,Philippe Lamy
131,Part Timer
132,Deaf Center
133,Lauki
134,Big Brotherz
135,cokiyu
136,Verbose
137,Worm Is Green
138,Library Tapes
139,Richard Skelton
140,Matryoshka
141,Aidan Baker
142,Ylid
143,Daisuke Miyatani
144,Dakota Suite
145,Ryonkt
146,Hird
147,Svarte Greiner
148,The Boats
149,The Sound Of Lucrecia
150,Porzellan
151,Deep Forest
152,Porcupine Tree
153,De/Vision
154,Radiohead
155,Robbie Williams
156,VAST
157,Michael Jackson
158,עברי לידר
159,The Cure
160,אביב גפן
161,Enrique Iglesias
162,God Is an Astronaut
163,Pink Floyd
164,יוני בלוך
165,Planet Funk
166,The Cranberries
167,Scissor Sisters
168,דניאל סלומון
169,אביתר בנאי
170,Mew
171,Stereophonics
172,Garbage
173,Placebo
174,Infected Mushroom
175,Delerium
176,Scorpions
177,Rock Star Supernova
178,Dolores O'Riordan
179,Tommy Lee
180,Roxette
181,Paradise Lost
182,Keane
183,Jamiroquai
184,James Blunt
185,Reamonn
186,Blackfield
187,a-ha
188,Opeth
189,Poets of the Fall
190,Muse
191,OneRepublic
192,Elton John
193,Tears for Fears
194,The Tiger Lillies
195,Bright Eyes
196,Beirut
197,Tom Waits
198,System of a Down
199,Arcade Fire
200,Gogol Bordello
201,Ленинград
202,CAKE
203,Blur
204,Damien Rice
205,Andrew Bird
206,Beck
207,Arctic Monkeys
208,Babyshambles
209,My Chemical Romance
210,Bloc Party
211,The Decemberists
212,Bob Dylan
213,Jacques Brel
214,DeVotchKa
215,Jeff Buckley
216,Sparklehorse
217,Death Cab for Cutie
218,Man Man
219,M. Ward
220,Red Hot Chili Peppers
221,Travis
222,Modest Mouse
223,Band of Horses
224,Yeong-wook Jo
225,Interpol
226,Queens of the Stone Age
227,The Beatles
228,Kings of Leon
229,The Killers
230,Green Day
231,Devendra Banhart
232,Sunset Rubdown
233,Nine Inch Nails
234,Nirvana
235,Eels
236,Clap Your Hands Say Yeah
237,Thom Yorke
238,Massive Attack
239,Keyshia Cole
240,Racionais MC's
241,Toni Braxton
242,Elo da Corrente
243,Teta Lando
244,Flagelo Urbano
245,Bob Marley & The Wailers
246,Adriana Calcanhotto
247,Maxwell
248,Pharoahe Monch
249,Common
250,Bob Marley
251,Whitney Houston
252,Tamia
253,Bryan Adams
254,Lokua Kanza
255,Nach
256,Kid Abelha
257,Mariah Carey
258,Tina Turner
259,9th Wonder
260,Floetry
261,Marisa Monte
262,Mary J. Blige
263,Jill Scott
264,Sara Tavares
265,Céline Dion
266,Erykah Badu
267,Nas
268,Richard Marx
269,Dru Hill
270,Maria Bethânia
271,Mos Def
272,Faith Evans
273,Avant
274,Bob da Rage Sense
275,Angie Stone
276,Gang Starr
277,Papa Wemba
278,2Pac
279,Brandy
280,Sam the Kid
281,Dealema
282,Boss AC
283,Ana Carolina
284,Dilated Peoples
285,Janet Jackson
286,Peter Tosh
287,Monica
288,Rihanna
289,Britney Spears
290,Jordin Sparks
291,Kelly Clarkson
292,Christina Aguilera
293,Ashlee Simpson
294,Leona Lewis
295,Beyoncé
296,Sugababes
297,David Cook
298,Lily Allen
299,Jennifer Lopez
300,Katy Perry
301,Alicia Keys
302,P!nk
303,Panic at the Disco
304,David Archuleta
305,Katharine McPhee
306,Black Eyed Peas
307,Kate Voegele
308,Kat DeLuna
309,Danity Kane
310,Nelly Furtado
311,Natasha Bedingfield
312,Cassie
313,Allison Iraheta
314,Ciara
315,Matt Pokora
316,Alanis Morissette
317,Keri Hilson
318,Hilary Duff
319,Haley James Scott
320,Fergie
321,Jonas Brothers
322,Ashanti
323,The Saturdays
324,Cobra Starship
325,Ashley Tisdale
326,JoJo
327,Chris Brown
328,David Guetta
329,Justin Timberlake
330,T.I.
331,Kanye West
332,Kelly Rowland
333,Avril Lavigne
334,No Angels
335,Sandy
336,Vanessa Petruo
337,Alexander
338,Queensberry
339,Fady Maalouf
340,Cher
341,Barbara Schöneberger
342,Colbie Caillat
343,Annett Louisan
344,Taylor Swift
345,Nadja Benaissa
346,Lena
347,Cassandra Steen
348,Wir sind Helden
349,The Pussycat Dolls
350,Monrose
351,Gabrielle
352,Cheryl Cole
353,Milow
354,Sarah Connor
355,Jason Mraz
356,Brad Paisley
357,Silbermond
358,Diyana
359,Maria Mena
360,Shania Twain
361,Jennifer Chung
362,A Fine Frenzy
363,Lucylicious
364,Sugarland
365,Christina Stürmer
366,Jack Johnson
367,BIG BANG
368,김종국
369,2PM
370,Katatonia
371,Skillet
372,モンゴル800
373,Jay Park
374,宇多田ヒカル
375,浜崎あゆみ
376,UVERworld
377,Linkin Park
378,Evanescence
379,中島美嘉
380,Blackmore's Night
381,C.N.BLUE
382,BUCK-TICK
383,Bad Religion
384,Fairuz
385,T.M.Revolution
386,Cascada
387,TRAX
388,B2ST
389,Enya
390,GACKT
391,Sinamore
392,Remi Bandali
393,Super Junior
394,山下智久
395,NEWS
396,L'Arc~en~Ciel
397,雅-MIYAVI-
398,www.DjFahad.com
399,嵐
400,2NE1
401,RENTRER EN SOI
402,3mmey
403,The All-American Rejects
404,백지영
405,The Rasmus
406,HYDE
407,Akira Yamaoka
408,Crossfade
409,G-Dragon
410,GD&TOP
411,Chinese mix
412,blink-182
413,After School
414,Wasted Land
415,Laith Al-Deen
416,The National
417,Cordel do Fogo Encantado
418,Sigur Rós
419,Tokyo Police Club
420,The Kills
421,Móveis Coloniais de Acaju
422,Mombojó
423,Bat for Lashes
424,The Strokes
425,Yeah Yeah Yeahs
426,Rilo Kiley
427,The Cribs
428,The Libertines
429,The Smiths
430,Kate Nash
431,Wolf Parade
432,Klaxons
433,Broken Social Scene
434,Spoon
435,Black Lips
436,The Smashing Pumpkins
437,She & Him
438,O Teatro Mágico
439,Los Hermanos
440,Animal Collective
441,Joy Division
442,The Tallest Man on Earth
443,The Rakes
444,múm
445,Bon Iver
446,Ra Ra Riot
447,Manu Chao
448,Art Brut
449,Poney Express
450,She Wants Revenge
451,Local Natives
452,Mundo Livre S/A
453,Silverchair
454,Jónsi
455,Backstreet Boys
456,Jesse McCartney
457,Aaron Carter
458,Justin Bieber
459,*NSYNC
460,Noize MC
461,Miley Cyrus
462,Blue
463,Savage Garden
464,3OH!3
465,Jessica Simpson
466,Ke$ha
467,Darren Hayes
468,Usher
469,Nick Carter
470,nevershoutnever!
471,Metro Station
472,3 Doors Down
473,Dream Street
474,Craig David
475,Eminem
476,M. Pokora
477,Daniel Merriweather
478,ВИА Гра
479,Westlife
480,Guf
481,Simple Plan
482,Jeremih
483,Centr
484,Ne-Yo
485,Kelis
486,30 Seconds to Mars
487,The Birthday Massacre
488,Three Days Grace
489,Limp Bizkit
490,Seether
491,Fort Minor
492,Funeral for a Friend
493,Lostprophets
494,Finch
495,This Beautiful Republic
496,Cold
497,Papa Roach
498,Paramore
499,Flyleaf
500,Bullet for My Valentine
501,Angels & Airwaves
502,LaFee
503,In Flames
504,HIM
505,Digital Summer
506,Anathema
507,Saosin
508,Tracktor Bowling
509,Pitchshifter
510,P.O.D.
511,U2
512,Deftones
513,Traff!c
514,Ill Niño
515,Clan of Xymox
516,Celldweller
517,Korn
518,Within Temptation
519,Static-X
520,Fluke
521,happysad
522,Lacrimosa
523,Lindsay Lohan
524,Jeffree Star
525,Gwen Stefani
526,La Roux
527,Lil' Wayne
528,Pixie Lott
529,Paul van Dyk
530,Alphabeat
531,Taio Cruz
532,Little Boots
533,Oasis
534,No Doubt
535,Sophie Ellis-Bextor
536,Good Charlotte
537,The Used
538,Maroon 5
539,Gossip
540,Fall Out Boy
541,Space Cowboy
542,Pitty
543,Nicole Scherzinger
544,Adam Lambert
545,Flo Rida
546,The Ting Tings
547,Kid Cudi
548,Ellie Goulding
549,The Sonics
550,The Fleshtones
551,The Satelliters
552,The Barracudas
553,The Staggers
554,The Kinks
555,The Swingin' Neckbreakers
556,The Strollers
557,The Fuzztones
558,The Maharajas
559,Southern Culture on the Skids
560,The Woggles
561,The Untamed Youth
562,The Who
563,Small Faces
564,Mahalia Jackson
565,Howlin' Wolf
