user,item,weight
2,51,13883
2,52,11690
2,53,11351
2,54,10300
2,56,6152
2,57,5955
2,58,4616
2,59,4337
2,61,3923
2,63,3735
2,64,3644
2,66,3312
2,67,3301
2,70,2686
2,71,2654
2,73,2584
2,75,2397
2,76,2382
2,77,2120
2,80,1972
2,81,1948
2,85,1638
2,86,1594
2,88,1553
2,89,1519
2,91,1438
2,93,1407
2,95,1363
2,96,1342
2,97,1337
2,99,1330
2,100,1315
3,103,493
3,126,94
4,53,686
4,64,420
4,65,301
4,72,4983
4,77,396
4,151,1807
4,152,1208
4,153,903
4,155,777
4,156,743
4,157,732
4,159,724
4,161,632
4,162,524
4,163,465
4,166,445
4,167,407
4,171,359
4,172,309
4,173,292
4,174,287
4,175,285
4,180,256
4,181,255
4,183,253
4,184,247
4,185,240
4,186,236
4,187,223
4,190,208
4,191,202
4,192,197
4,193,193
5,53,181
5,154,884
5,173,241
5,190,826
5,196,620
5,197,452
5,198,451
5,199,374
5,200,337
5,202,298
5,205,275
5,206,265
5,207,259
5,208,255
5,209,252
5,211,222
5,214,207
5,215,196
5,216,192
5,217,185
5,220,170
5,221,161
5,222,161
5,223,149
5,225,142
5,226,139
5,227,138
5,228,138
5,229,138
5,231,134
5,233,130
5,235,129
5,236,127
5,237,118
5,238,115
6,77,16
6,241,40
6,246,31
6,250,24
6,251,24
6,253,23
6,256,19
6,257,18
6,261,18
6,262,17
6,265,17
6,266,16
6,270,16
6,271,15
6,276,14
6,278,14
6,279,14
6,283,14
6,285,13
6,287,13
7,55,3151
7,67,2540
7,89,5846
7,288,43864
7,289,11112
7,290,6266
7,291,5379
7,292,4201
7,294,3251
7,295,2852
7,296,2356
7,298,1802
7,301,1553
7,302,1490
7,304,1312
7,306,1164
7,307,1162
7,308,1082
7,309,1027
7,310,962
7,311,960
7,312,926
7,313,900
7,316,809
7,317,773
7,318,753
7,320,719
7,322,667
7,323,646
7,324,605
7,325,599
7,326,593
7,327,587
7,328,571
7,329,534
7,331,516
7,332,510
7,333,498
8,71,181
8,89,921
8,97,354
8,251,235
8,257,479
8,265,581
8,288,428
8,289,2258
8,292,783
8,295,1425
8,296,1039
8,300,347
8,323,578
8,342,753
8,344,553
8,346,520
8,348,504
8,350,494
8,352,417
8,354,389
8,355,361
8,356,350
8,357,345
8,359,277
8,360,257
8,364,178
8,366,173
9,8,587
9,367,2396
9,369,1158
9,370,1113
9,374,708
9,375,630
9,377,609
9,378,590
9,380,556
9,386,465
9,388,411
9,389,403
9,390,381
9,393,357
9,396,307
9,397,307
9,405,267
9,407,249
9,408,249
9,409,242
9,412,236
10,154,177
10,159,225
10,196,1137
10,199,1386
10,200,306
10,208,310
10,217,761
10,219,189
10,225,1297
10,229,992
10,416,3132
10,421,956
10,422,878
10,423,845
10,424,797
10,425,729
10,427,583
10,428,578
10,429,573
10,430,560
10,431,546
10,432,527
10,433,483
10,434,455
10,436,317
10,437,315
10,438,308
10,441,238
10,442,235
10,444,208
10,445,204
10,447,189
10,448,178
10,450,173
10,453,161
10,454,157
11,67,229
11,89,3384
11,157,1007
11,230,329
11,234,370
11,288,749
11,289,3851
11,292,555
11,301,306
11,304,1031
11,306,249
11,325,298
11,327,337
11,329,553
11,344,243
11,349,341
11,455,4416
11,456,1951
11,457,1788
11,458,1708
11,459,1567
11,461,1500
11,462,1318
11,463,1235
11,464,1117
11,466,956
11,467,793
11,468,719
11,470,548
11,471,537
11,472,514
11,476,337
11,478,329
11,479,321
11,481,293
11,484,244
11,485,238
12,72,2144
12,189,2976
12,191,4259
12,300,1064
12,333,23961
12,344,5489
12,377,59695
12,378,31617
12,405,1034
12,486,24097
12,487,7867
12,489,7399
12,490,4527
12,491,3837
12,492,3823
12,493,3727
12,494,3648
12,496,3407
12,497,3226
12,498,3134
12,499,3080
12,501,2378
12,502,2303
12,503,1714
12,504,1646
12,506,1591
12,507,1547
12,510,1341
12,511,1278
12,514,1227
12,515,1222
12,517,1177
12,518,1001
12,521,939
12,522,927
13,55,6
13,67,9
13,228,6
13,292,4
13,295,2
13,298,16
13,300,2
13,302,9
13,310,17
13,316,4
13,318,2
13,325,3
13,328,12
13,333,38
13,344,2
13,352,2
13,461,3
13,466,4
13,523,10
13,524,8
13,525,6
13,526,6
13,527,4
13,528,4
13,529,3
13,530,3
13,532,3
13,533,2
13,534,2
13,536,2
13,537,2
13,538,2
13,539,2
13,540,2
13,541,2
13,543,2
13,544,2
13,545,2
13,546,2
13,547,2
14,554,834
14,562,710
14,565,674
14,570,655
14,572,653
14,575,648
14,576,646
14,578,638
14,580,634
14,582,633
14,583,632
14,585,631
15,69,242
15,159,297
15,197,599
