user,item,weight
12347.0,20719,40
12347.0,21035,6
12347.0,21154,10
12347.0,21791,48
12347.0,21976,48
12347.0,22131,6
12347.0,22195,48
12347.0,22196,72
12347.0,22212,6
12347.0,22371,32
12347.0,22423,15
12347.0,22432,6
12347.0,22492,108
12347.0,22561,12
12347.0,22697,12
12347.0,22698,12
12347.0,22699,24
12347.0,22725,20
12347.0,22726,16
12347.0,22727,36
12347.0,22728,16
12347.0,22729,8
12347.0,22771,12
12347.0,22772,12
12347.0,22775,12
12347.0,22992,24
12347.0,23084,84
12347.0,23146,16
12347.0,23147,12
12347.0,23170,12
12347.0,23171,12
12347.0,23172,12
12347.0,23173,4
12347.0,23174,4
12347.0,23175,8
12347.0,23177,16
12347.0,23308,48
12347.0,23497,12
12347.0,23503,12
12347.0,47559B,30
12347.0,84992,72
12347.0,84997B,6
12347.0,84997D,6
12349.0,20685,6
12349.0,20914,6
12349.0,21136,16
12349.0,21232,36
12349.0,21411,3
12349.0,21531,6
12349.0,21533,3
12349.0,21535,6
12349.0,22131,6
12349.0,22195,12
12349.0,22326,6
12349.0,22333,8
12349.0,22423,1
12349.0,22430,4
12349.0,22441,8
12349.0,22553,12
12349.0,22554,12
12349.0,22555,12
12349.0,22556,12
12349.0,22567,12
12349.0,22601,12
12349.0,22666,6
12349.0,22692,4
12349.0,22704,25
12349.0,22720,3
12349.0,22722,4
12349.0,22960,6
12349.0,23108,2
12349.0,23112,2
12349.0,23198,12
12349.0,23236,6
12349.0,23240,6
12349.0,23263,12
12349.0,23293,8
12349.0,23296,8
12349.0,23439,12
12349.0,23493,10
12349.0,23497,12
12349.0,37448,12
12349.0,48184,6
12349.0,48194,2
12349.0,84978,12
12349.0,85014A,3
12349.0,85014B,3
12349.0,85053,6
12349.0,POST,1
12352.0,21232,12
12352.0,21380,6
12352.0,21669,12
12352.0,21731,12
12352.0,21755,6
12352.0,21756,6
12352.0,21770,2
12352.0,21914,24
12352.0,22064,12
12352.0,22120,3
12352.0,22138,3
12352.0,22178,6
12352.0,22413,12
12352.0,22624,4
12352.0,22630,12
12352.0,22634,2
12352.0,22635,4
12352.0,22645,24
12352.0,22646,12
12352.0,22654,9
12352.0,22668,5
12352.0,22692,2
12352.0,22720,6
12352.0,22722,4
12352.0,22784,6
12352.0,22801,4
12352.0,22844,4
12352.0,22978,6
12352.0,22993,12
12352.0,23198,12
12352.0,23243,4
12352.0,23245,8
12352.0,23298,3
12352.0,23367,16
12352.0,23368,16
12352.0,84050,36
12352.0,M,3
12352.0,POST,7
12354.0,20675,8
12354.0,20676,8
12354.0,20677,8
12354.0,20749,2
12354.0,20750,2
12354.0,21080,12
12354.0,21156,8
12354.0,21217,2
12354.0,21238,24
12354.0,21239,32
12354.0,21240,32
12354.0,21242,24
