CustomerID,StockCode,Description,Quantity
17850.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6
17850.0,71053,WHITE METAL LANTERN,6
17850.0,84406B,CREAM CUPID HEARTS COAT HANGER,8
17850.0,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6
17850.0,84029E,RED WOOLLY HOTTIE WHITE HEART.,6
17850.0,22752,SET 7 BABUSHKA NESTING BOXES,2
17850.0,22633,HAND WARMER UNION JACK,6
17850.0,22632,HAND WARMER RED POLKA DOT,6
13047.0,84879,ASSORTED COLOUR BIRD ORNAMENT,32
13047.0,22745,POPPY'S PLAYHOUSE BEDROOM ,6
13047.0,22748,POPPY'S PLAYHOUSE KITCHEN,6
13047.0,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8
13047.0,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3
13047.0,22622,BOX OF VINTAGE ALPHABET BLOCKS,2
13047.0,21754,HOME BUILDING BLOCK WORD,3
13047.0,21755,LOVE BUILDING BLOCK WORD,3
13047.0,48187,DOORMAT NEW ENGLAND,4
13047.0,22960,JAM MAKING SET WITH JARS,6
13047.0,21756,BATH BUILDING BLOCK WORD,3
12583.0,22728,ALARM CLOCK BAKELIKE PINK,24
12583.0,22727,ALARM CLOCK BAKELIKE RED ,24
12583.0,22726,ALARM CLOCK BAKELIKE GREEN,12
12583.0,21791,VINTAGE HEADS AND TAILS CARD GAME ,24
12583.0,21035,SET/2 RED RETROSPOT TEA TOWELS ,18
12583.0,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24
12583.0,22629,SPACEBOY LUNCH BOX ,24
12583.0,22659,LUNCH BOX I LOVE LONDON,24
12583.0,22631,CIRCUS PARADE LUNCH BOX ,24
12583.0,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20
12583.0,21731,RED TOADSTOOL LED NIGHT LIGHT,24
12583.0,22900, SET 2 TEA TOWELS I LOVE LONDON ,24
12583.0,22492,MINI PAINT SET VINTAGE ,36
12583.0,POST,POSTAGE,3
13748.0,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80
17850.0,22632,HAND WARMER RED POLKA DOT,6
17850.0,22633,HAND WARMER UNION JACK,6
17850.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6
17850.0,71053,WHITE METAL LANTERN,6
17850.0,84406B,CREAM CUPID HEARTS COAT HANGER,8
17850.0,20679,EDWARDIAN PARASOL RED,6
17850.0,21871,SAVE THE PLANET MUG,6
17850.0,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2
17850.0,82486,WOOD S/3 CABINET ANT WHITE FINISH,4
17850.0,82482,WOODEN PICTURE FRAME WHITE FINISH,6
17850.0,82494L,WOODEN FRAME ANTIQUE WHITE ,6
17850.0,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6
17850.0,84029E,RED WOOLLY HOTTIE WHITE HEART.,6
17850.0,22752,SET 7 BABUSHKA NESTING BOXES,2
17850.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6
17850.0,71053,WHITE METAL LANTERN,6
17850.0,84406B,CREAM CUPID HEARTS COAT HANGER,8
17850.0,20679,EDWARDIAN PARASOL RED,6
17850.0,21871,SAVE THE PLANET MUG,6
17850.0,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2
17850.0,82486,WOOD S/3 CABINET ANT WHITE FINISH,4
17850.0,82482,WOODEN PICTURE FRAME WHITE FINISH,6
17850.0,82494L,WOODEN FRAME ANTIQUE WHITE ,6
17850.0,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6
17850.0,84029E,RED WOOLLY HOTTIE WHITE HEART.,6
17850.0,22752,SET 7 BABUSHKA NESTING BOXES,2
15291.0,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48
15291.0,21733,RED HANGING HEART T-LIGHT HOLDER,64
17850.0,22632,HAND WARMER RED POLKA DOT,6
17850.0,22633,HAND WARMER UNION JACK,6
14688.0,22386,JUMBO BAG PINK POLKADOT,10
14688.0,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10
14688.0,20723,STRAWBERRY CHARLOTTE BAG,10
14688.0,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12
14688.0,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6
14688.0,21094,SET/6 RED SPOTTY PAPER PLATES,12
14688.0,20725,LUNCH BAG RED RETROSPOT,10
14688.0,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6
14688.0,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6
14688.0,21212,PACK OF 72 RETROSPOT CAKE CASES,120
14688.0,21975,PACK OF 60 DINOSAUR CAKE CASES,24
14688.0,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24
14688.0,84991,60 TEATIME FAIRY CAKE CASES,24
14688.0,21931,JUMBO STORAGE BAG SUKI,10
14688.0,21929,JUMBO BAG PINK VINTAGE PAISLEY,10
17809.0,22961,JAM MAKING SET PRINTED,24
15311.0,22139,RETROSPOT TEA SET CERAMIC 11 PC ,23
15311.0,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10
15311.0,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6
15311.0,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24
15311.0,22637,PIGGY BANK RETROSPOT ,1
15311.0,21169,YOU'RE CONFUSING ME METAL SIGN ,3
15311.0,21166,COOK WITH WINE METAL SIGN ,1
15311.0,21175,GIN + TONIC DIET METAL SIGN,2
15311.0,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,4
15311.0,22083,PAPER CHAIN KIT RETROSPOT,1
15311.0,84832,ZINC WILLIE WINKIE  CANDLE STICK,1
15311.0,22644,CERAMIC CHERRY CAKE MONEY BANK,1
15311.0,21533,RETROSPOT LARGE MILK JUG,1
15311.0,15056BL,EDWARDIAN PARASOL BLACK,2
15311.0,15056N,EDWARDIAN PARASOL NATURAL,2
15311.0,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4
15311.0,21731,RED TOADSTOOL LED NIGHT LIGHT,2
15311.0,21523,DOORMAT FANCY FONT HOME SWEET HOME,10
16098.0,21912,VINTAGE SNAKES & LADDERS,8
16098.0,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10
16098.0,22379,RECYCLING BAG RETROSPOT ,10
16098.0,22381,TOY TIDY PINK POLKADOT,50
16098.0,22798,ANTIQUE GLASS DRESSING TABLE POT,8
16098.0,22726,ALARM CLOCK BAKELIKE GREEN,4
16098.0,22926,IVORY GIANT GARDEN THERMOMETER,12
18074.0,82484,WOOD BLACK BOARD ANT WHITE FINISH,3
18074.0,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,48
18074.0,22464,HANGING METAL HEART LANTERN,12
18074.0,22457,NATURAL SLATE HEART CHALKBOARD ,12
18074.0,22469,HEART OF WICKER SMALL,40
18074.0,22470,HEART OF WICKER LARGE,40
18074.0,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2
18074.0,22189,CREAM HEART CARD HOLDER,4
18074.0,22427,ENAMEL FLOWER JUG CREAM,3
18074.0,22424,ENAMEL BREAD BIN CREAM,8
17420.0,22961,JAM MAKING SET PRINTED,12
17420.0,22960,JAM MAKING SET WITH JARS,6
17420.0,22663,JUMBO BAG DOLLY GIRL DESIGN,10
17420.0,85049A,TRADITIONAL CHRISTMAS RIBBONS,12
17420.0,22662,LUNCH BAG DOLLY GIRL DESIGN,10
16029.0,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100
16029.0,85099B,JUMBO BAG RED RETROSPOT,100
16029.0,79321,CHILLI LIGHTS,192
16029.0,21731,RED TOADSTOOL LED NIGHT LIGHT,432
16250.0,21754,HOME BUILDING BLOCK WORD,3
16250.0,21755,LOVE BUILDING BLOCK WORD,3
16250.0,21523,DOORMAT FANCY FONT HOME SWEET HOME,2
16250.0,21411,GINGHAM HEART  DOORSTOP RED,3
16250.0,22464,HANGING METAL HEART LANTERN,12
16250.0,22969,HOMEMADE JAM SCENTED CANDLES,12
16250.0,22469,HEART OF WICKER SMALL,12
12431.0,22941,CHRISTMAS LIGHTS 10 REINDEER,6
12431.0,21791,VINTAGE HEADS AND TAILS CARD GAME ,12
12431.0,85014B,RED RETROSPOT UMBRELLA,6
12431.0,85014A,BLACK/BLUE POLKADOT UMBRELLA,3
12431.0,22193,RED DINER WALL CLOCK,2
12431.0,22726,ALARM CLOCK BAKELIKE GREEN,4
12431.0,22727,ALARM CLOCK BAKELIKE RED ,4
12431.0,22192,BLUE DINER WALL CLOCK,2
12431.0,22191,IVORY DINER WALL CLOCK,2
12431.0,22195,LARGE HEART MEASURING SPOONS,24
12431.0,22196,SMALL HEART MEASURING SPOONS,24
17511.0,22941,CHRISTMAS LIGHTS 10 REINDEER,2
17511.0,22960,JAM MAKING SET WITH JARS,12
17511.0,22961,JAM MAKING SET PRINTED,12
17511.0,22962,JAM JAR WITH PINK LID,48
17511.0,22963,JAM JAR WITH GREEN LID,48
17511.0,84970S,HANGING HEART ZINC T-LIGHT HOLDER,144
17511.0,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40
17511.0,20668,DISCO BALL CHRISTMAS DECORATION,288
17511.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64
17511.0,22197,SMALL POPCORN HOLDER,100
17511.0,21533,RETROSPOT LARGE MILK JUG,12
17511.0,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96
17511.0,21094,SET/6 RED SPOTTY PAPER PLATES,96
17511.0,21086,SET/6 RED SPOTTY PAPER CUPS,48
17511.0,22654,DELUXE SEWING KIT ,40
17511.0,21485,RETROSPOT HEART HOT WATER BOTTLE,24
17511.0,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24
17511.0,84030E,ENGLISH ROSE HOT WATER BOTTLE,24
17511.0,22174,PHOTO CUBE,48
17511.0,22969,HOMEMADE JAM SCENTED CANDLES,96
17511.0,85099B,JUMBO BAG RED RETROSPOT,100
13705.0,22150,3 STRIPEY MICE FELTCRAFT,6
13705.0,22619,SET OF 6 SOLDIER SKITTLES,4
13705.0,21891,TRADITIONAL WOODEN SKIPPING ROPE,12
13705.0,21889,WOODEN BOX OF DOMINOES,12
13705.0,22502,PICNIC BASKET WICKER SMALL,4
13705.0,84879,ASSORTED COLOUR BIRD ORNAMENT,16
13408.0,21506,"FANCY FONT BIRTHDAY CARD, ",24
13408.0,22633,HAND WARMER UNION JACK,96
13408.0,22866,HAND WARMER SCOTTY DOG DESIGN,96
13408.0,22865,HAND WARMER OWL DESIGN,96
13408.0,22632,HAND WARMER RED RETROSPOT,96
13408.0,21485,RETROSPOT HEART HOT WATER BOTTLE,12
13408.0,22558,CLOTHES PEGS RETROSPOT PACK 24 ,48
13408.0,85152,HAND OVER THE CHOCOLATE   SIGN ,12
13408.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32
13408.0,22652,TRAVEL SEWING KIT,20
13767.0,22188,BLACK HEART CARD HOLDER,8
13767.0,84879,ASSORTED COLOUR BIRD ORNAMENT,32
13767.0,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24
13767.0,84991,60 TEATIME FAIRY CAKE CASES,24
13767.0,21212,PACK OF 72 RETROSPOT CAKE CASES,24
13767.0,21484,CHICK GREY HOT WATER BOTTLE,8
13767.0,21314,SMALL GLASS HEART TRINKET POT,8
13767.0,22730,ALARM CLOCK BAKELIKE IVORY,4
13767.0,22727,ALARM CLOCK BAKELIKE RED ,8
