No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,Datetime,dayofweek,quarter,dayofyear,is_weekend,lag_1,lag_24,roll_24,roll_168,wind_NW,wind_SE,wind_cv
193,2010,1,9,0,165.0,-17,-13.0,1027.0,0.89,0,0,2010-01-09 00:00:00,5,1,9,1,169.0,210.0,176.20833333333334,85.74404761904762,0,0,1
194,2010,1,9,1,159.0,-17,-13.0,1027.0,3.13,0,0,2010-01-09 01:00:00,5,1,9,1,165.0,195.0,174.33333333333334,85.95833333333333,1,0,0
195,2010,1,9,2,167.0,-17,-14.0,1027.0,4.92,0,0,2010-01-09 02:00:00,5,1,9,1,159.0,275.0,172.83333333333334,86.02380952380952,1,0,0
196,2010,1,9,3,196.0,-17,-15.0,1027.0,8.05,0,0,2010-01-09 03:00:00,5,1,9,1,167.0,164.0,168.33333333333334,86.07142857142857,1,0,0
197,2010,1,9,4,169.0,-17,-13.0,1027.0,9.84,0,0,2010-01-09 04:00:00,5,1,9,1,196.0,110.0,169.66666666666666,86.16071428571429,1,0,0
198,2010,1,9,5,155.0,-19,-16.0,1027.0,13.86,0,0,2010-01-09 05:00:00,5,1,9,1,169.0,100.0,172.125,86.3452380952381,1,0,0
199,2010,1,9,6,119.0,-18,-15.0,1027.0,17.88,0,0,2010-01-09 06:00:00,5,1,9,1,155.0,81.0,174.41666666666666,86.61904761904762,1,0,0
200,2010,1,9,7,106.0,-19,-15.0,1027.0,21.9,0,0,2010-01-09 07:00:00,5,1,9,1,119.0,71.0,176.0,86.70238095238095,1,0,0
201,2010,1,9,8,93.0,-18,-14.0,1028.0,25.92,0,0,2010-01-09 08:00:00,5,1,9,1,106.0,66.0,177.45833333333334,86.5952380952381,1,0,0
202,2010,1,9,9,84.0,-18,-9.0,1029.0,5.81,0,0,2010-01-09 09:00:00,5,1,9,1,93.0,92.0,178.58333333333334,86.43452380952381,0,0,0
203,2010,1,9,10,73.0,-17,-7.0,1029.0,11.62,0,0,2010-01-09 10:00:00,5,1,9,1,84.0,135.0,178.25,86.14880952380952,0,0,0
204,2010,1,9,11,66.0,-17,-6.0,1030.0,17.43,0,0,2010-01-09 11:00:00,5,1,9,1,73.0,155.0,175.66666666666666,85.75,0,0,0
205,2010,1,9,12,40.0,-16,-6.0,1029.0,23.24,0,0,2010-01-09 12:00:00,5,1,9,1,66.0,198.0,171.95833333333334,85.23809523809524,0,0,0
206,2010,1,9,13,49.0,-16,-5.0,1029.0,28.16,0,0,2010-01-09 13:00:00,5,1,9,1,40.0,250.0,165.375,84.5952380952381,0,0,0
207,2010,1,9,14,50.0,-15,-4.0,1029.0,33.08,0,0,2010-01-09 14:00:00,5,1,9,1,49.0,200.0,157.0,83.91071428571429,0,0,0
208,2010,1,9,15,49.0,-14,-4.0,1028.0,37.1,0,0,2010-01-09 15:00:00,5,1,9,1,50.0,231.0,150.75,83.26785714285714,0,0,0
209,2010,1,9,16,41.0,-15,-4.0,1029.0,38.89,0,0,2010-01-09 16:00:00,5,1,9,1,49.0,250.0,143.16666666666666,82.64285714285714,0,0,0
210,2010,1,9,17,37.0,-15,-4.0,1030.0,1.79,0,0,2010-01-09 17:00:00,5,1,9,1,41.0,212.0,134.45833333333334,81.94047619047619,1,0,0
211,2010,1,9,18,45.0,-15,-7.0,1030.0,3.13,0,0,2010-01-09 18:00:00,5,1,9,1,37.0,219.0,127.16666666666667,81.18452380952381,0,0,0
212,2010,1,9,19,44.0,-15,-6.0,1031.0,3.13,0,0,2010-01-09 19:00:00,5,1,9,1,45.0,227.0,119.91666666666667,80.44047619047619,1,0,0
213,2010,1,9,20,54.0,-15,-7.0,1032.0,4.92,0,0,2010-01-09 20:00:00,5,1,9,1,44.0,226.0,112.29166666666667,79.81547619047619,1,0,0
214,2010,1,9,21,50.0,-15,-6.0,1032.0,3.13,0,0,2010-01-09 21:00:00,5,1,9,1,54.0,225.0,105.125,79.2202380952381,0,0,0
