Datetime,PJME_MW,hour,dayofweek,month,quarter,year,dayofyear,weekofyear,is_weekend,lag_24,lag_168,roll_24,roll_168
2002-01-08 01:00:00,29445.0,1,1,1,1,2002,8,2,0,26862.0,30393.0,33452.583333333336,32519.511904761905
2002-01-08 02:00:00,28670.0,2,1,1,1,2002,8,2,0,25976.0,29265.0,33560.208333333336,32513.869047619046
2002-01-08 03:00:00,28375.0,3,1,1,1,2002,8,2,0,25641.0,28357.0,33672.458333333336,32510.32738095238
2002-01-08 04:00:00,28542.0,4,1,1,1,2002,8,2,0,25666.0,27899.0,33786.375,32510.434523809523
2002-01-08 05:00:00,29261.0,5,1,1,1,2002,8,2,0,26328.0,28057.0,33906.208333333336,32514.261904761905
2002-01-08 06:00:00,31348.0,6,1,1,1,2002,8,2,0,28267.0,28654.0,34028.416666666664,32521.428571428572
2002-01-08 07:00:00,35335.0,7,1,1,1,2002,8,2,0,31938.0,29308.0,34156.791666666664,32537.464285714286
2002-01-08 08:00:00,37841.0,8,1,1,1,2002,8,2,0,34678.0,29595.0,34298.333333333336,32573.339285714286
2002-01-08 09:00:00,37417.0,9,1,1,1,2002,8,2,0,35349.0,29943.0,34430.125,32622.42261904762
2002-01-08 10:00:00,36824.0,10,1,1,1,2002,8,2,0,35542.0,30692.0,34516.291666666664,32666.910714285714
2002-01-08 11:00:00,36504.0,11,1,1,1,2002,8,2,0,35857.0,31395.0,34569.708333333336,32703.410714285714
2002-01-08 12:00:00,35741.0,12,1,1,1,2002,8,2,0,35787.0,31496.0,34596.666666666664,32733.821428571428
2002-01-08 13:00:00,35158.0,13,1,1,1,2002,8,2,0,35790.0,31031.0,34594.75,32759.089285714286
2002-01-08 14:00:00,34591.0,14,1,1,1,2002,8,2,0,35594.0,30360.0,34568.416666666664,32783.65476190476
2002-01-08 15:00:00,34078.0,15,1,1,1,2002,8,2,0,35527.0,29798.0,34526.625,32808.83928571428
2002-01-08 16:00:00,34006.0,16,1,1,1,2002,8,2,0,35489.0,29720.0,34466.25,32834.31547619047
2002-01-08 17:00:00,35270.0,17,1,1,1,2002,8,2,0,36530.0,31271.0,34404.458333333336,32859.82738095238
2002-01-08 18:00:00,38779.0,18,1,1,1,2002,8,2,0,39140.0,35103.0,34351.958333333336,32883.630952380954
2002-01-08 19:00:00,39450.0,19,1,1,1,2002,8,2,0,39581.0,35732.0,34336.916666666664,32905.51190476191
2002-01-08 20:00:00,38898.0,20,1,1,1,2002,8,2,0,38780.0,35639.0,34331.458333333336,32927.642857142855
2002-01-08 21:00:00,38178.0,21,1,1,1,2002,8,2,0,37777.0,35285.0,34336.375,32947.041666666664
2002-01-08 22:00:00,36282.0,22,1,1,1,2002,8,2,0,35997.0,34007.0,34353.083333333336,32964.26190476191
2002-01-08 23:00:00,33530.0,23,1,1,1,2002,8,2,0,33579.0,31857.0,34364.958333333336,32977.80357142857
2002-01-09 00:00:00,30943.0,0,2,1,1,2002,9,2,0,31187.0,29563.0,34362.916666666664,32987.76190476191
2002-01-09 01:00:00,29082.0,1,2,1,1,2002,9,2,0,29445.0,28121.0,34352.75,32995.97619047619
2002-01-09 02:00:00,28154.0,2,2,1,1,2002,9,2,0,28670.0,27437.0,34337.625,33001.69642857143
2002-01-09 03:00:00,27829.0,3,2,1,1,2002,9,2,0,28375.0,27301.0,34316.125,33005.96428571428
2002-01-09 04:00:00,27759.0,4,2,1,1,2002,9,2,0,28542.0,27533.0,34293.375,33009.107142857145
2002-01-09 05:00:00,28308.0,5,2,1,1,2002,9,2,0,29261.0,28405.0,34260.75,33010.45238095238
2002-01-09 06:00:00,30169.0,6,2,1,1,2002,9,2,0,31348.0,30748.0,34221.041666666664,33009.875
2002-01-09 07:00:00,34261.0,7,2,1,1,2002,9,2,0,35335.0,34725.0,34171.916666666664,33006.42857142857
2002-01-09 08:00:00,36714.0,8,2,1,1,2002,9,2,0,37841.0,37313.0,34127.166666666664,33003.666666666664
2002-01-09 09:00:00,36494.0,9,2,1,1,2002,9,2,0,37417.0,37322.0,34080.208333333336,33000.10119047619
2002-01-09 10:00:00,36417.0,10,2,1,1,2002,9,2,0,36824.0,37035.0,34041.75,32995.17261904762
2002-01-09 11:00:00,36529.0,11,2,1,1,2002,9,2,0,36504.0,36758.0,34024.791666666664,32991.494047619046
2002-01-09 12:00:00,36181.0,12,2,1,1,2002,9,2,0,35741.0,36284.0,34025.833333333336,32990.130952380954
2002-01-09 13:00:00,35698.0,13,2,1,1,2002,9,2,0,35158.0,35548.0,34044.166666666664,32989.517857142855
2002-01-09 14:00:00,35342.0,14,2,1,1,2002,9,2,0,34591.0,34978.0,34066.666666666664,32990.41071428572
2002-01-09 15:00:00,34750.0,15,2,1,1,2002,9,2,0,34078.0,34304.0,34097.958333333336,32992.57738095238
2002-01-09 16:00:00,34709.0,16,2,1,1,2002,9,2,0,34006.0,34169.0,34125.958333333336,32995.232142857145
2002-01-09 17:00:00,35477.0,17,2,1,1,2002,9,2,0,35270.0,35674.0,34155.25,32998.44642857143
2002-01-09 18:00:00,37984.0,18,2,1,1,2002,9,2,0,38779.0,39532.0,34163.875,32997.27380952381
2002-01-09 19:00:00,38111.0,19,2,1,1,2002,9,2,0,39450.0,40002.0,34130.75,32988.05952380953
2002-01-09 20:00:00,37316.0,20,2,1,1,2002,9,2,0,38898.0,39484.0,34074.958333333336,32976.80357142857
2002-01-09 21:00:00,36319.0,21,2,1,1,2002,9,2,0,38178.0,38693.0,34009.041666666664,32963.89880952381
2002-01-09 22:00:00,34456.0,22,2,1,1,2002,9,2,0,36282.0,37016.0,33931.583333333336,32949.767857142855
2002-01-09 23:00:00,31626.0,23,2,1,1,2002,9,2,0,33530.0,34332.0,33855.5,32934.52976190476
2002-01-10 00:00:00,29096.0,0,3,1,1,2002,10,2,0,30943.0,31451.0,33776.166666666664,32918.42261904762
2002-01-10 01:00:00,27144.0,1,3,1,1,2002,10,2,0,29082.0,29414.0,33699.208333333336,32904.40476190476
2002-01-10 02:00:00,26163.0,2,3,1,1,2002,10,2,0,28154.0,28537.0,33618.458333333336,32890.892857142855
2002-01-10 03:00:00,25752.0,3,3,1,1,2002,10,2,0,27829.0,28118.0,33535.5,32876.76190476191
2002-01-10 04:00:00,25629.0,4,3,1,1,2002,10,2,0,27759.0,28106.0,33448.958333333336,32862.67857142857
2002-01-10 05:00:00,26257.0,5,3,1,1,2002,10,2,0,28308.0,28650.0,33360.208333333336,32847.93452380953
2002-01-10 06:00:00,28350.0,6,3,1,1,2002,10,2,0,30169.0,30687.0,33274.75,32833.69047619047
2002-01-10 07:00:00,32472.0,7,3,1,1,2002,10,2,0,34261.0,34696.0,33198.958333333336,32819.77976190476
2002-01-10 08:00:00,34791.0,8,3,1,1,2002,10,2,0,36714.0,37196.0,33124.416666666664,32806.541666666664
2002-01-10 09:00:00,34403.0,9,3,1,1,2002,10,2,0,36494.0,37436.0,33044.291666666664,32792.22619047619
2002-01-10 10:00:00,33905.0,10,3,1,1,2002,10,2,0,36417.0,37323.0,32957.166666666664,32774.17261904762
2002-01-10 11:00:00,33416.0,11,3,1,1,2002,10,2,0,36529.0,37198.0,32852.5,32753.82738095238
2002-01-10 12:00:00,32986.0,12,3,1,1,2002,10,2,0,36181.0,36548.0,32722.791666666668,32731.315476190477
2002-01-10 13:00:00,32499.0,13,3,1,1,2002,10,2,0,35698.0,36024.0,32589.666666666668,32710.113095238095
2002-01-10 14:00:00,32380.0,14,3,1,1,2002,10,2,0,35342.0,35186.0,32456.375,32689.130952380954
2002-01-10 15:00:00,31904.0,15,3,1,1,2002,10,2,0,34750.0,34478.0,32332.958333333332,32672.428571428572
2002-01-10 16:00:00,31866.0,16,3,1,1,2002,10,2,0,34709.0,34497.0,32214.375,32657.10714285714
2002-01-10 17:00:00,32910.0,17,3,1,1,2002,10,2,0,35477.0,35807.0,32095.916666666668,32641.446428571428
2002-01-10 18:00:00,35702.0,18,3,1,1,2002,10,2,0,37984.0,39261.0,31988.958333333332,32624.20238095238
2002-01-10 19:00:00,35895.0,19,3,1,1,2002,10,2,0,38111.0,39662.0,31893.875,32603.01785714286
