"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
1,"Clinton Hill Apartment Single Bedroom ! Pratt ~~",30610258,"Santiago","Brooklyn","Clinton Hill",40.69591,-73.96284,"Private room",58,2,1,"9/23/2018",0.1,1,0
2,"Andy Phillips",6180052,"Andrian","Brooklyn","Fort Greene",40.68769,-73.9749,"Private room",99,5,4,"9/29/2017",0.17,1,250
3,"Stylish, Comfortable, and Affordable in Brooklyn",5957027,"Zachary","Brooklyn","Crown Heights",40.67667,-73.9175,"Entire home/apt",180,2,126,"6/14/2019",3.74,1,74
4,"15 min train ride to Times Sq and  US OPEN",101602599,"M","Queens","Woodside",40.7434,-73.90588,"Entire home/apt",50,1,95,"6/24/2019",5.63,2,0
5,"Sunny 2 bdrm Park Slope Apt w/ Yard 3min to Subway",106168581,"Jason","Brooklyn","South Slope",40.666,-73.9902,"Entire home/apt",210,4,88,"7/4/2019",4.41,1,20
6,"Private Sunny Cool Bushwick Bedroom",94946,"Taylor","Brooklyn","Bushwick",40.69746,-73.92065,"Private room",101,1,28,"6/8/2019",1.15,1,13
7,"Spacious & Modern Room in a Prime Location!",215532980,"Isa & Bruno","Queens","Ridgewood",40.70384,-73.91137,"Private room",75,1,11,"6/25/2019",4.65,3,68
8,"Prospect Heights Garden Duplex",1157541,"Damaris","Brooklyn","Prospect Heights",40.67625,-73.97038,"Entire home/apt",166,30,1,"3/5/2019",0.24,1,365
9,"Enjoy the Times Square experience with the family!",244361589,"Row NYC","Manhattan","Theater District",40.75976,-73.98761,"Private room",249,1,22,"6/23/2019",7.59,9,283
10,"Brooklyn Cozy Garden Apt",16385595,"Ava","Brooklyn","Bedford-Stuyvesant",40.67994,-73.94318,"Private room",105,14,26,"6/5/2019",0.42,1,285
