date,cumulative,new_cases
2020-01-22,557,0
2020-01-23,657,100
2020-01-24,944,287
2020-01-25,1437,493
2020-01-26,2120,683
2020-01-27,2929,809
2020-01-28,5580,2651
2020-01-29,6169,589
2020-01-30,8237,2068
2020-01-31,9927,1690
2020-02-01,12038,2111
2020-02-02,16787,4749
2020-02-03,19887,3100
2020-02-04,23899,4012
2020-02-05,27644,3745
2020-02-06,30806,3162
2020-02-07,34400,3594
2020-02-08,37131,2731
2020-02-09,40162,3031
2020-02-10,42771,2609
2020-02-11,44814,2043
2020-02-12,45232,418
2020-02-13,60384,15152
2020-02-14,66912,6528
2020-02-15,69055,2143
2020-02-16,71238,2183
2020-02-17,73273,2035
2020-02-18,75155,1882
2020-02-19,75655,500
2020-02-20,76216,561
2020-02-21,76846,630
2020-02-22,78608,1762
2020-02-23,78990,382
2020-02-24,79558,568
2020-02-25,80412,854
2020-02-26,81384,972
2020-02-27,82728,1344
2020-02-28,84152,1424
2020-02-29,86023,1871
2020-03-01,88402,2379
2020-03-02,90382,1980
2020-03-03,92994,2612
2020-03-04,95338,2344
2020-03-05,98078,2740
2020-03-06,102062,3984
2020-03-07,106199,4137
2020-03-08,109997,3798
2020-03-09,114292,4295
2020-03-10,119051,4759
2020-03-11,126527,7476
2020-03-12,133283,6756
2020-03-13,146477,13194
2020-03-14,157365,10888
2020-03-15,168598,11233
2020-03-16,183165,14567
2020-03-17,198339,15174
2020-03-18,215900,17561
2020-03-19,242987,27087
2020-03-20,272517,29530
2020-03-21,304944,32427
2020-03-22,339156,34212
2020-03-23,381711,42555
2020-03-24,423594,41883
2020-03-25,475075,51481
2020-03-26,535889,60814
2020-03-27,599820,63931
2020-03-28,669402,69582
2020-03-29,725918,56516
2020-03-30,790929,65011
2020-03-31,869371,78442
2020-04-01,955728,86357
2020-04-02,1038176,82448
2020-04-03,1122386,84210
2020-04-04,1182507,60121
2020-04-05,1254222,71715
2020-04-06,1328948,74726
2020-04-07,1397886,68938
2020-04-08,1480062,82176
2020-04-09,1567243,87181
2020-04-10,1653665,86422
2020-04-11,1729180,75515
2020-04-12,1847761,118581
2020-04-13,1919593,71832
2020-04-14,2004226,84633
2020-04-15,2082482,78256
2020-04-16,2176950,94468
2020-04-17,2264830,87880
2020-04-18,2343082,78252
2020-04-19,2419404,76322
2020-04-20,2495886,76482
2020-04-21,2571973,76087
2020-04-22,2654011,82038
2020-04-23,2736728,82717
2020-04-24,2820291,83563
2020-04-25,2903496,83205
2020-04-26,2974291,70795
2020-04-27,3045275,70984
2020-04-28,3121107,75832
2020-04-29,3198435,77328
2020-04-30,3282087,83652
2020-05-01,3371033,88946
2020-05-02,3449295,78262
2020-05-03,3523292,73997
2020-05-04,3600929,77637
2020-05-05,3680614,79685
2020-05-06,3771036,90422
2020-05-07,3860174,89138
2020-05-08,3950657,90483
2020-05-09,4035000,84343
2020-05-10,4110223,75223
2020-05-11,4186364,76141
2020-05-12,4271644,85280
2020-05-13,4355992,84348
2020-05-14,4451634,95642
2020-05-15,4547536,95902
2020-05-16,4641426,93890
2020-05-17,4719789,78363
2020-05-18,4808921,89132
2020-05-19,4904739,95818
2020-05-20,5010162,105423
2020-05-21,5116135,105973
2020-05-22,5223477,107342
2020-05-23,5327627,104150
2020-05-24,5420843,93216
2020-05-25,5509066,88223
2020-05-26,5601428,92362
2020-05-27,5703984,102556
2020-05-28,5823977,119993
2020-05-29,5945413,121436
2020-05-30,6080456,135043
2020-05-31,6183316,102860
2020-06-01,6283580,100264
2020-06-02,6406221,122641
2020-06-03,6517437,111216
2020-06-04,6655667,138230
2020-06-05,6789073,133406
2020-06-06,6918403,129330
2020-06-07,7029415,111012
2020-06-08,7132463,103048
2020-06-09,7258445,125982
2020-06-10,7395607,137162
2020-06-11,7531793,136186
2020-06-12,7659267,127474
2020-06-13,7793175,133908
2020-06-14,7925122,131947
2020-06-15,8050034,124912
2020-06-16,8193933,143899
2020-06-17,8337135,143202
2020-06-18,8480229,143094
2020-06-19,8661225,180996
2020-06-20,8847108,185883
2020-06-21,8940170,93062
2020-06-22,9082502,142332
2020-06-23,9250625,168123
2020-06-24,9422061,171436
2020-06-25,9601576,179515
2020-06-26,9794066,192490
2020-06-27,9970478,176412
2020-06-28,10138935,168457
2020-06-29,10291617,152682
2020-06-30,10475388,183771
2020-07-01,10690516,215128
2020-07-02,10895486,204970
2020-07-03,11098124,202638
2020-07-04,11287838,189714
2020-07-05,11474058,186220
2020-07-06,11642331,168273
2020-07-07,11851900,209569
2020-07-08,12067186,215286
2020-07-09,12291782,224596
2020-07-10,12524663,232881
2020-07-11,12737483,212820
2020-07-12,12930415,192932
2020-07-13,13124893,194478
2020-07-14,13345920,221027
2020-07-15,13575706,229786
2020-07-16,13820618,244912
2020-07-17,14058038,237420
2020-07-18,14293379,235341
2020-07-19,14505270,211891
2020-07-20,14713414,208144
2020-07-21,14956435,243021
2020-07-22,15231791,275356
2020-07-23,15511422,279631
2020-07-24,15794928,283506
2020-07-25,16044485,249557
2020-07-26,16256294,211809
2020-07-27,16490680,234386
2020-07-28,16754567,263887
2020-07-29,17024801,270234
2020-07-30,17306582,281781
2020-07-31,17594044,287462
2020-08-01,17840315,246271
2020-08-02,18070926,230611
2020-08-03,18276983,206057
2020-08-04,18542287,265304
2020-08-05,18817443,275156
2020-08-06,19104145,286702
2020-08-07,19386579,282434
2020-08-08,19651806,265227
2020-08-09,19884801,232995
2020-08-10,20118013,233212
2020-08-11,20383576,265563
2020-08-12,20658646,275070
2020-08-13,20948740,290094
2020-08-14,21255813,307073
2020-08-15,21504839,249026
2020-08-16,21714880,210041
2020-08-17,21927762,212882
2020-08-18,22187166,259404
2020-08-19,22464640,277474
2020-08-20,22736119,271479
2020-08-21,22998072,261953
2020-08-22,23261601,263529
2020-08-23,23464360,202759
2020-08-24,23692460,228100
2020-08-25,23937668,245208
2020-08-26,24219359,281691
2020-08-27,24506622,287263
2020-08-28,24790561,283939
2020-08-29,25051295,260734
2020-08-30,25271033,219738
2020-08-31,25535340,264307
2020-09-01,25802224,266884
2020-09-02,26084114,281890
2020-09-03,26369544,285430
2020-09-04,26671276,301732
2020-09-05,26944997,273721
2020-09-06,27173995,228998
2020-09-07,27391278,217283
2020-09-08,27637790,246512
2020-09-09,27923100,285310
2020-09-10,28227493,304393
2020-09-11,28543855,316362
2020-09-12,28832580,288725
2020-09-13,29081415,248835
2020-09-14,29348555,267140
2020-09-15,29629107,280552
2020-09-16,29934059,304952
2020-09-17,30249632,315573
2020-09-18,30576278,326646
2020-09-19,30869397,293119
2020-09-20,31124526,255129
2020-09-21,31384435,259909
2020-09-22,31668754,284319
2020-09-23,31980407,311653
2020-09-24,32301360,320953
2020-09-25,32631974,330614
2020-09-26,32918085,286111
2020-09-27,33165079,246994
2020-09-28,33426328,261249
2020-09-29,33709128,282800
