date,y,month,day,dayofweek,dayofyear,is_weekend,lag_1,lag_2,lag_3,lag_7,rollmean_7,rollstd_7,rollmean_14,rollstd_14
2010-12-17,45418.33,12,17,4,351,0,49352.9,30444.62,45254.73,53586.18,41879.590000000004,14446.321224671708,48458.82857142857,18839.24293328397
2010-12-19,7534.91,12,19,6,353,1,45418.33,49352.9,30444.62,59182.92,40712.75428571429,13651.16035256694,47491.509999999995,18604.74614910772
2010-12-20,26789.13,12,20,0,354,0,7534.91,45418.33,49352.9,17329.07,33334.467142857146,15793.846669012935,44619.11928571428,21448.92077989992
2010-12-21,47304.09,12,21,1,355,0,26789.13,7534.91,45418.33,38006.71,34685.904285714285,14551.961951235158,43179.506428571425,21951.38095801881
2010-12-22,6199.97,12,22,2,356,0,47304.09,26789.13,7534.91,45254.73,36014.10142857143,15310.125660039983,44288.73071428571,21721.92019528429
2010-12-23,12076.11,12,23,3,357,0,6199.97,47304.09,26789.13,30444.62,30434.850000000002,18220.851504433977,40815.124285714286,23704.342468680134
2011-01-04,16026.08,1,4,1,4,0,12076.11,6199.97,47304.09,49352.9,27810.777142857143,19497.17717900614,34562.11785714286,17813.940201331596
2011-01-05,32634.47,1,5,2,5,0,16026.08,12076.11,6199.97,45418.33,23049.802857142855,17306.00764767998,32464.696428571428,18166.172449884638
2011-01-06,40382.85,1,6,3,6,0,32634.47,16026.08,12076.11,7534.91,21223.537142857145,15083.962325892955,30968.145714285714,17125.518829799763
2011-01-07,28836.59,1,7,4,7,0,40382.85,32634.47,16026.08,26789.13,25916.100000000002,15224.515589545063,29625.28357142857,15392.30927837595
2011-01-09,15778.2,1,9,6,9,1,28836.59,40382.85,32634.47,47304.09,26208.594285714287,15263.701275284746,30447.249285714286,14987.09133383765
2011-01-10,24569.07,1,10,0,10,0,15778.2,28836.59,40382.85,6199.97,21704.895714285714,12380.586547055409,28859.498571428576,15298.84363267159
2011-01-11,68655.59,1,11,1,11,0,24569.07,15778.2,28836.59,12076.11,24329.052857142855,10322.071073314593,27381.951428571425,14575.401143336221
2011-01-12,24693.78,1,12,2,12,0,68655.59,24569.07,15778.2,16026.08,32411.835714285717,18242.160612447446,30111.306428571428,18295.842614105026
2011-01-13,20624.64,1,13,3,13,0,24693.78,68655.59,24569.07,32634.47,33650.07857142857,17209.499406479397,28349.940714285716,17469.245682726785
2011-01-14,47576.9,1,14,4,14,0,20624.64,24693.78,68655.59,40382.85,31934.388571428568,17911.945096800104,26578.962857142855,16851.63850453006
2011-01-16,7242.06,1,16,6,16,1,47576.9,20624.64,24693.78,28836.59,32962.11,18667.908501152462,29439.105000000003,16768.61077609579
2011-01-17,29333.02,1,17,0,17,0,7242.06,47576.9,20624.64,15778.2,29877.17714285714,21090.393660167283,28042.885714285716,17788.96900804787
2011-01-18,95978.05,1,18,1,18,0,29333.02,7242.06,47576.9,24569.07,31813.579999999998,20182.895343954835,26759.23785714286,16919.30706265167
2011-01-19,25934.57,1,19,2,19,0,95978.05,29333.02,7242.06,68655.59,42014.86285714286,31038.225541287375,33171.95785714286,24042.041926132126
2011-01-20,21246.99,1,20,3,20,0,25934.57,95978.05,29333.02,24693.78,35911.86,29064.152138164416,34161.84785714286,23382.905943850117
2011-01-21,32640.3,1,21,4,21,0,21246.99,25934.57,95978.05,20624.64,35419.46142857143,29314.005571343907,34534.770000000004,23111.476103182024
2011-01-23,10400.25,1,23,6,23,1,32640.3,21246.99,25934.57,47576.9,37135.98428571429,28647.505353665543,34535.186428571425,23111.439281723873
2011-01-24,25733.79,1,24,0,24,0,10400.25,32640.3,21246.99,7242.06,31825.034285714286,29811.689025883163,32393.572142857145,23903.47730807613
2011-01-25,29077.47,1,25,1,25,0,25733.79,10400.25,32640.3,29333.02,34466.71,28036.738676291043,32171.943571428572,23953.326191903543
2011-01-26,19922.29,1,26,2,26,0,29077.47,25733.79,10400.25,95978.05,34430.20285714286,28044.702705314798,33121.89142857143,23512.82986745251
2011-01-27,23730.84,1,27,3,27,0,19922.29,29077.47,25733.79,25934.57,23565.094285714287,7245.919042748305,32789.978571428575,23675.08847573878
2011-01-28,20090.65,1,28,4,28,0,23730.84,19922.29,29077.47,21246.99,23250.27571428571,7173.322544855291,29581.067857142858,21372.50927142377
2011-01-30,6615.75,1,30,6,30,1,20090.65,23730.84,19922.29,32640.3,23085.084285714285,7240.147345876039,29252.272857142863,21488.57110476401
2011-01-31,23640.36,1,31,0,31,0,6615.75,20090.65,23730.84,10400.25,19367.29142857143,8141.471405789103,28251.63785714286,22234.45226586198
2011-02-01,29034.99,2,1,1,32,0,23640.36,6615.75,20090.65,25733.79,21258.735714285714,7193.859563780479,26541.885000000002,21543.683417023527
2011-02-02,21216.2,2,2,2,33,0,29034.99,23640.36,6615.75,29077.47,21730.335714285717,7631.0425945211355,28098.522857142856,20816.972485307204
2011-02-03,23479.83,2,3,3,34,0,21216.2,29034.99,23640.36,19922.29,20607.29714285714,6914.384889083853,27518.75,20892.83818716245
2011-02-04,25162.19,2,4,4,35,0,23479.83,21216.2,29034.99,23730.84,21115.51714285714,6986.015884335729,22340.305714285718,6955.064910869688
2011-02-06,3457.11,2,6,6,37,1,25162.19,23479.83,21216.2,20090.65,21319.995714285713,7095.414890142968,22285.135714285716,6927.369052417764
2011-02-07,25955.01,2,7,0,38,0,3457.11,25162.19,23479.83,6615.75,18943.77571428571,9832.903263339667,21014.43,8569.448637906808
2011-02-08,20949.92,2,8,1,39,0,25955.01,3457.11,25162.19,23640.36,21706.527142857143,8404.993947268758,20536.90928571429,8041.799274721709
2011-02-09,16692.58,2,9,2,40,0,20949.92,25955.01,3457.11,29034.99,21322.178571428572,8363.235195390294,21290.457142857143,7494.5415912941035
2011-02-10,14896.46,2,10,3,41,0,16692.58,20949.92,25955.01,21216.2,19558.977142857144,7744.307430368308,20644.65642857143,7471.71304162325
2011-02-11,22873.1,2,11,4,42,0,14896.46,16692.58,20949.92,23479.83,18656.15714285714,7885.988379173392,19631.727142857144,7196.738054967802
2011-02-13,5713.63,2,13,6,44,1,22873.1,14896.46,16692.58,25162.19,18569.481428571427,7827.250206493227,19842.499285714286,7248.92365958237
2011-02-14,26703.51,2,14,0,45,0,5713.63,22873.1,14896.46,3457.11,15791.115714285712,8518.303549022887,18555.555714285714,8059.529696575351
2011-02-15,39875.74,2,15,1,46,0,26703.51,5713.63,22873.1,25955.01,19112.03,7361.185619577006,19027.902857142857,8345.138267457021
2011-02-16,24949.1,2,16,2,47,0,39875.74,26703.51,5713.63,20949.92,21100.705714285716,10659.45419461659,21403.61642857143,9227.433556420925
2011-02-17,26372.67,2,17,3,48,0,24949.1,39875.74,26703.51,16692.58,21672.01714285714,10756.752974841327,21497.097857142857,9258.413967688784
2011-02-18,16208.75,2,18,4,49,0,26372.67,24949.1,39875.74,14896.46,23054.88714285714,10631.411354534468,21306.932142857142,9117.953900623472
2011-02-20,9624.69,2,20,6,51,1,16208.75,26372.67,24949.1,22873.1,23242.357142857138,10473.976399177363,20949.257142857146,9219.43712824613
2011-02-21,36388.75,2,21,0,52,0,9624.69,16208.75,26372.67,5713.63,21349.727142857144,11679.435338954723,19959.604285714286,9660.00683071322
2011-02-22,32498.35,2,22,1,53,0,36388.75,9624.69,16208.75,26703.51,25731.88714285714,10533.412313510966,20761.50142857143,10550.070725250242
2011-02-23,26891.6,2,23,2,54,0,32498.35,36388.75,9624.69,39875.74,26559.721428571425,10845.586284958577,22835.875714285714,9707.337233704837
2011-02-24,22809.84,2,24,3,55,0,26891.6,32498.35,36388.75,24949.1,24704.844285714287,9169.42618590694,22902.774999999998,9733.67822713706
2011-02-25,20595.74,2,25,4,56,0,22809.84,26891.6,32498.35,26372.67,24399.235714285714,9195.541162878662,23035.62642857143,9717.653622370903
