date,pickups
2014-04-01,14546
2014-04-02,17474
2014-04-03,20701
2014-04-04,26714
2014-04-05,19521
2014-04-06,13445
2014-04-07,19550
2014-04-08,16188
2014-04-09,16843
2014-04-10,20041
2014-04-11,20420
2014-04-12,18170
2014-04-13,12112
2014-04-14,12674
2014-04-15,20641
2014-04-16,17717
2014-04-17,20973
2014-04-18,18074
2014-04-19,14602
2014-04-20,11017
2014-04-21,13162
2014-04-22,16975
2014-04-23,20346
2014-04-24,23352
2014-04-25,25095
2014-04-26,24925
2014-04-27,14677
2014-04-28,15475
2014-04-29,22835
2014-04-30,36251
2014-05-01,23375
2014-05-02,24235
2014-05-03,22234
2014-05-04,13918
2014-05-05,17859
2014-05-06,19300
2014-05-07,21891
2014-05-08,27513
2014-05-09,26385
2014-05-10,22550
2014-05-11,14901
2014-05-12,17470
2014-05-13,19498
2014-05-14,22218
2014-05-15,26301
2014-05-16,32493
2014-05-17,22294
2014-05-18,16508
2014-05-19,18315
2014-05-20,20860
2014-05-21,23508
2014-05-22,26802
2014-05-23,26465
2014-05-24,14651
2014-05-25,10841
2014-05-26,10202
2014-05-27,17004
2014-05-28,22240
2014-05-29,24930
2014-05-30,24413
2014-05-31,21261
2014-06-01,15967
2014-06-02,17503
2014-06-03,22674
2014-06-04,22831
2014-06-05,28371
2014-06-06,24683
2014-06-07,20889
2014-06-08,15749
2014-06-09,23244
2014-06-10,22874
2014-06-11,25716
2014-06-12,29844
2014-06-13,31207
2014-06-14,19327
2014-06-15,14511
2014-06-16,17778
2014-06-17,21807
2014-06-18,24647
2014-06-19,28594
2014-06-20,24271
2014-06-21,19940
2014-06-22,16322
2014-06-23,17735
2014-06-24,20779
2014-06-25,26460
2014-06-26,28516
2014-06-27,24895
2014-06-28,21208
2014-06-29,17107
2014-06-30,18395
2014-07-01,21228
2014-07-02,26480
2014-07-03,21597
2014-07-04,14148
2014-07-05,10890
2014-07-06,11443
2014-07-07,18280
2014-07-08,25763
2014-07-09,27817
2014-07-10,30541
2014-07-11,28752
2014-07-12,25936
2014-07-13,21082
2014-07-14,27350
2014-07-15,33845
2014-07-16,28607
2014-07-17,30710
2014-07-18,29860
2014-07-19,25726
2014-07-20,21212
2014-07-21,23578
2014-07-22,29029
2014-07-23,34073
2014-07-24,32050
2014-07-25,29975
2014-07-26,27708
2014-07-27,22590
2014-07-28,23981
2014-07-29,27589
2014-07-30,30740
2014-07-31,33541
2014-08-01,32353
2014-08-02,28678
2014-08-03,23146
2014-08-04,24952
2014-08-05,28094
2014-08-06,30495
2014-08-07,32759
2014-08-08,30411
2014-08-09,26286
2014-08-10,20584
2014-08-11,22632
2014-08-12,29646
2014-08-13,29788
2014-08-14,30457
2014-08-15,28974
2014-08-16,26234
2014-08-17,21209
2014-08-18,21956
2014-08-19,24834
2014-08-20,27955
2014-08-21,32304
2014-08-22,29512
2014-08-23,27097
2014-08-24,22036
2014-08-25,22093
2014-08-26,24550
2014-08-27,27018
2014-08-28,28597
2014-08-29,27424
2014-08-30,23930
2014-08-31,23271
2014-09-01,19961
2014-09-02,28831
2014-09-03,32631
2014-09-04,38360
2014-09-05,42319
2014-09-06,40520
2014-09-07,30134
2014-09-08,30360
2014-09-09,34560
2014-09-10,35910
2014-09-11,36439
2014-09-12,39540
2014-09-13,43205
2014-09-14,28122
2014-09-15,29454
2014-09-16,36092
2014-09-17,35531
2014-09-18,40274
2014-09-19,41017
2014-09-20,38864
2014-09-21,28620
2014-09-22,28312
2014-09-23,30316
2014-09-24,31301
2014-09-25,38203
2014-09-26,37504
2014-09-27,39468
2014-09-28,29656
2014-09-29,29201
2014-09-30,33431
