date,y,month,day,dayofweek,dayofyear,is_weekend,lag_1,lag_2,lag_3,lag_7,lag_14,rollmean_7,rollstd_7,rollmean_14,rollstd_14
2020-01-15,8064,1,15,2,15,0,8271.0,8153.0,5961.0,8412.0,4629.0,7622.285714285715,1438.7615871859746,7105.642857142857,1514.6042695722845
2020-01-16,9119,1,16,3,16,0,8064.0,8271.0,8153.0,8691.0,6930.0,7572.571428571428,1412.7025939834678,7351.0,1352.0419315300044
2020-01-17,8357,1,17,4,17,0,9119.0,8064.0,8271.0,8701.0,6606.0,7633.714285714285,1476.976722259101,7507.357142857143,1424.2553577837875
2020-01-18,6755,1,18,5,18,1,8357.0,9119.0,8064.0,5167.0,5807.0,7584.571428571428,1440.8272921187622,7632.428571428572,1415.8713389117136
2020-01-19,6770,1,19,6,19,1,6755.0,8357.0,9119.0,5961.0,5194.0,7811.428571428572,1075.4214456269158,7700.142857142857,1342.629157639985
2020-01-20,9096,1,20,0,20,0,6770.0,6755.0,8357.0,8153.0,8411.0,7927.0,866.6196782133824,7812.714285714285,1171.5043207886063
2020-01-21,10143,1,21,1,21,0,9096.0,6770.0,6755.0,8271.0,8546.0,8061.714285714285,974.2199810251127,7861.642857142857,1212.0183806135346
2020-01-22,10144,1,22,2,22,0,10143.0,9096.0,6770.0,8064.0,8412.0,8329.142857142857,1257.1098372286897,7975.714285714285,1348.8150029147482
2020-01-23,10054,1,23,3,23,0,10144.0,10143.0,9096.0,9119.0,8691.0,8626.285714285714,1419.3484085177624,8099.428571428572,1466.229319575358
2020-01-24,8433,1,24,4,24,0,10054.0,10144.0,10143.0,8357.0,8701.0,8759.857142857143,1514.2660960094859,8196.785714285714,1551.313695330084
2020-01-25,6529,1,25,5,25,1,8433.0,10054.0,10144.0,6755.0,5167.0,8770.714285714286,1511.1655230633203,8177.642857142857,1546.258492030302
2020-01-26,6199,1,26,6,26,1,6529.0,8433.0,10054.0,6770.0,5961.0,8738.42857142857,1562.935790656253,8274.92857142857,1375.7081792682245
2020-01-27,8546,1,27,0,27,0,6199.0,6529.0,8433.0,9096.0,8153.0,8656.857142857143,1692.3365926603208,8291.92857142857,1346.0659753110574
2020-01-28,9309,1,28,1,28,0,8546.0,6199.0,6529.0,10143.0,8271.0,8578.285714285714,1681.2816256540445,8320.0,1347.0433720388683
2020-01-29,9286,1,29,2,29,0,9309.0,8546.0,6199.0,10144.0,8064.0,8459.142857142857,1578.3163422427326,8394.142857142857,1372.465376172094
2020-01-30,8925,1,30,3,30,0,9286.0,9309.0,8546.0,10054.0,9119.0,8336.57142857143,1454.090650216699,8481.42857142857,1388.6171158766165
2020-01-31,8074,1,31,4,31,0,8925.0,9286.0,9309.0,8433.0,8357.0,8175.285714285715,1284.5799202185033,8467.57142857143,1382.7207690906807
2020-02-01,6397,2,1,5,32,1,8074.0,8925.0,9286.0,6529.0,6755.0,8124.0,1279.733305549769,8447.357142857143,1386.5249648030058
2020-02-02,6115,2,2,6,33,1,6397.0,8074.0,8925.0,6199.0,6770.0,8105.142857142857,1307.8174475784003,8421.785714285714,1422.9602501919621
2020-02-03,8705,2,3,0,34,0,6115.0,6397.0,8074.0,8546.0,9096.0,8093.142857142857,1328.4451348062826,8375.0,1490.6071555938843
2020-02-04,9173,2,4,1,35,0,8705.0,6115.0,6397.0,9309.0,10143.0,8115.857142857143,1338.797772701494,8347.07142857143,1479.6820066011949
2020-02-05,9219,2,5,2,36,0,9173.0,8705.0,6115.0,9286.0,10144.0,8096.428571428572,1319.4440568086336,8277.785714285714,1410.1979227465479
2020-02-06,9757,2,6,3,37,0,9219.0,9173.0,8705.0,8925.0,10054.0,8086.857142857143,1309.5826852565726,8211.714285714286,1335.738598826732
2020-02-07,8745,2,7,4,38,0,9757.0,9219.0,9173.0,8074.0,8433.0,8205.714285714286,1430.503724134233,8190.5,1306.2618273295973
2020-02-08,6730,2,8,5,39,1,8745.0,9757.0,9219.0,6397.0,6529.0,8301.57142857143,1442.6368054298896,8212.785714285714,1313.3594726485212
2020-02-09,6171,2,9,6,40,1,6730.0,8745.0,9757.0,6115.0,6199.0,8349.142857142857,1373.1841863070715,8227.142857142857,1294.5003109096006
2020-02-10,8665,2,10,0,41,0,6171.0,6730.0,8745.0,8705.0,8546.0,8357.142857142857,1358.0790880960558,8225.142857142857,1297.8920102726836
2020-02-11,8686,2,11,1,42,0,8665.0,6171.0,6730.0,9173.0,9309.0,8351.42857142857,1356.45467514189,8233.642857142857,1300.541934800959
2020-02-12,8352,2,12,2,43,0,8686.0,8665.0,6171.0,9219.0,9286.0,8281.857142857143,1319.2733389472965,8189.142857142857,1271.245050343157
2020-02-13,8634,2,13,3,44,0,8352.0,8686.0,8665.0,9757.0,8925.0,8158.0,1255.7993470296146,8122.428571428572,1233.1930857790207
2020-02-14,7524,2,14,4,45,0,8634.0,8352.0,8686.0,8745.0,8074.0,7997.571428571428,1076.3987577632622,8101.642857142857,1221.0173316443222
2020-02-15,5896,2,15,5,46,1,7524.0,8634.0,8352.0,6730.0,6397.0,7823.142857142857,1033.1544622451925,8062.357142857143,1230.7840907413347
2020-02-16,6044,2,16,6,47,1,5896.0,7524.0,8634.0,6171.0,6115.0,7704.0,1212.7106002670262,8026.571428571428,1288.8439491554907
2020-02-17,8048,2,17,0,48,0,6044.0,5896.0,7524.0,8665.0,8705.0,7685.857142857143,1240.1081174063631,8021.5,1297.0578392891869
2020-02-18,8767,2,18,1,49,0,8048.0,6044.0,5896.0,8686.0,9173.0,7597.714285714285,1179.3537374745756,7974.571428571428,1282.2265918967007
2020-02-19,9105,2,19,2,50,0,8767.0,8048.0,6044.0,8352.0,9219.0,7609.285714285715,1192.139353471418,7945.571428571428,1257.3875061648002
2020-02-20,8561,2,20,3,51,0,9105.0,8767.0,8048.0,8634.0,9757.0,7716.857142857143,1299.468664310079,7937.428571428572,1248.8465271408024
2020-02-21,8377,2,21,4,52,0,8561.0,9105.0,8767.0,7524.0,8745.0,7706.428571428572,1291.1479204107343,7852.0,1151.9501191123993
2020-02-22,5487,2,22,5,53,1,8377.0,8561.0,9105.0,5896.0,6730.0,7828.285714285715,1311.158484481789,7825.714285714285,1134.0655542422028
2020-02-23,5674,2,23,6,54,1,5487.0,8377.0,8561.0,6044.0,6171.0,7769.857142857143,1416.4987855708948,7736.928571428572,1267.2803990791076
2020-02-24,7679,2,24,0,55,0,5674.0,5487.0,8377.0,8048.0,8665.0,7717.0,1496.2892991218903,7701.428571428572,1320.3698033439002
2020-02-25,8203,2,25,1,56,0,7679.0,5674.0,5487.0,8767.0,8686.0,7664.285714285715,1489.1676326375245,7631.0,1290.9890066861944
2020-02-26,7791,2,26,2,57,0,8203.0,7679.0,5674.0,9105.0,8352.0,7583.714285714285,1433.7894678422108,7596.5,1266.8549640744166
2020-02-27,8056,2,27,3,58,0,7791.0,8203.0,7679.0,8561.0,8634.0,7396.0,1279.0956440652437,7556.428571428572,1249.8784380451166
2020-02-28,7444,2,28,4,59,0,8056.0,7791.0,8203.0,8377.0,7524.0,7323.857142857143,1215.0759137562109,7515.142857142857,1220.753163302998
2020-02-29,6071,2,29,5,60,1,7444.0,8056.0,7791.0,5487.0,5896.0,7190.571428571428,1128.3783137971216,7509.428571428572,1220.8957439447513
2020-03-01,5780,3,1,6,61,1,6071.0,7444.0,8056.0,5674.0,6044.0,7274.0,995.1539244425198,7521.928571428572,1203.883489397519
2020-03-02,7923,3,2,0,62,0,5780.0,6071.0,7444.0,7679.0,8048.0,7289.142857142857,967.1624180338885,7503.071428571428,1230.5853806708697
2020-03-03,9265,3,3,1,63,0,7923.0,5780.0,6071.0,8203.0,8767.0,7324.0,987.7330948523905,7494.142857142857,1226.7750628966357
2020-03-04,13305,3,4,2,64,0,9265.0,7923.0,5780.0,7791.0,9105.0,7475.714285714285,1203.2885099157438,7529.714285714285,1272.8755107763116
2020-03-05,7843,3,5,3,65,0,13305.0,9265.0,7923.0,8056.0,8561.0,8263.42857142857,2524.055259375467,7829.714285714285,1974.3578675131268
2020-03-06,7043,3,6,4,66,0,7843.0,13305.0,9265.0,7444.0,8377.0,8233.0,2528.2530859600806,7778.428571428572,1963.1946380359689
2020-03-07,5132,3,7,5,67,1,7043.0,7843.0,13305.0,6071.0,5487.0,8175.714285714285,2553.5266276456264,7683.142857142857,1964.280798395445
2020-03-08,5199,3,8,6,68,1,5132.0,7043.0,7843.0,5780.0,5674.0,8041.571428571428,2702.81963001251,7657.785714285715,1996.8335001878647
2020-03-09,6926,3,9,0,69,0,5199.0,5132.0,7043.0,7923.0,7679.0,7958.571428571428,2791.3165267273007,7623.857142857143,2036.7692689514556
2020-03-10,6372,3,10,1,70,0,6926.0,5199.0,5132.0,9265.0,8203.0,7816.142857142857,2818.7356757106227,7570.071428571428,2045.1263065860019
