date,views
2020-01-01,4629
2020-01-02,6930
2020-01-03,6606
2020-01-04,5807
2020-01-05,5194
2020-01-06,8411
2020-01-07,8546
2020-01-08,8412
2020-01-09,8691
2020-01-10,8701
2020-01-11,5167
2020-01-12,5961
2020-01-13,8153
2020-01-14,8271
2020-01-15,8064
2020-01-16,9119
2020-01-17,8357
2020-01-18,6755
2020-01-19,6770
2020-01-20,9096
2020-01-21,10143
2020-01-22,10144
2020-01-23,10054
2020-01-24,8433
2020-01-25,6529
2020-01-26,6199
2020-01-27,8546
2020-01-28,9309
2020-01-29,9286
2020-01-30,8925
2020-01-31,8074
2020-02-01,6397
2020-02-02,6115
2020-02-03,8705
2020-02-04,9173
2020-02-05,9219
2020-02-06,9757
2020-02-07,8745
2020-02-08,6730
2020-02-09,6171
2020-02-10,8665
2020-02-11,8686
2020-02-12,8352
2020-02-13,8634
2020-02-14,7524
2020-02-15,5896
2020-02-16,6044
2020-02-17,8048
2020-02-18,8767
2020-02-19,9105
2020-02-20,8561
2020-02-21,8377
2020-02-22,5487
2020-02-23,5674
2020-02-24,7679
2020-02-25,8203
2020-02-26,7791
2020-02-27,8056
2020-02-28,7444
2020-02-29,6071
2020-03-01,5780
2020-03-02,7923
2020-03-03,9265
2020-03-04,13305
2020-03-05,7843
2020-03-06,7043
2020-03-07,5132
2020-03-08,5199
2020-03-09,6926
2020-03-10,6372
2020-03-11,6952
2020-03-12,6120
2020-03-13,6607
2020-03-14,4883
2020-03-15,5183
2020-03-16,6116
2020-03-17,6344
2020-03-18,6078
2020-03-19,6072
2020-03-20,5513
2020-03-21,5221
2020-03-22,5249
2020-03-23,7079
2020-03-24,6717
2020-03-25,6720
2020-03-26,6413
2020-03-27,6426
2020-03-28,6243
2020-03-29,6339
2020-03-30,7109
2020-03-31,9534
2020-04-01,7786
2020-04-02,7336
2020-04-03,7207
2020-04-04,6403
2020-04-05,6778
2020-04-06,7735
2020-04-07,7739
2020-04-08,8001
2020-04-09,7690
2020-04-10,7629
2020-04-11,6465
2020-04-12,6721
2020-04-13,8299
2020-04-14,8208
2020-04-15,8419
2020-04-16,8981
2020-04-17,7943
2020-04-18,6976
2020-04-19,6886
2020-04-20,8478
2020-04-21,8837
2020-04-22,8413
2020-04-23,8124
2020-04-24,8133
2020-04-25,6988
2020-04-26,7353
2020-04-27,8682
2020-04-28,9309
2020-04-29,8625
2020-04-30,8833
2020-05-01,7642
2020-05-02,7622
2020-05-03,8243
2020-05-04,8276
2020-05-05,8746
2020-05-06,8612
2020-05-07,8864
2020-05-08,7705
2020-05-09,11664
2020-05-10,7873
2020-05-11,8583
2020-05-12,8618
2020-05-13,8170
2020-05-14,8537
2020-05-15,7849
2020-05-16,6886
2020-05-17,6752
2020-05-18,8409
2020-05-19,8515
2020-05-20,7891
2020-05-21,7361
2020-05-22,7325
2020-05-23,6268
2020-05-24,7091
2020-05-25,7477
2020-05-26,7972
2020-05-27,7775
2020-05-28,8069
2020-05-29,7154
2020-05-30,6829
2020-05-31,6080
2020-06-01,7411
2020-06-02,7778
2020-06-03,7705
2020-06-04,61935
2020-06-05,7574
2020-06-06,6460
2020-06-07,6345
2020-06-08,7718
2020-06-09,7834
2020-06-10,7574
2020-06-11,7572
2020-06-12,7734
2020-06-13,6164
2020-06-14,6197
2020-06-15,7546
2020-06-16,7284
2020-06-17,7881
2020-06-18,7372
2020-06-19,6862
2020-06-20,5807
2020-06-21,5941
2020-06-22,7408
2020-06-23,7408
2020-06-24,7079
2020-06-25,7235
2020-06-26,6959
2020-06-27,5423
2020-06-28,5514
2020-06-29,7632
2020-06-30,10181
2020-07-01,9354
2020-07-02,7251
2020-07-03,6462
2020-07-04,5647
2020-07-05,5865
2020-07-06,7089
2020-07-07,7693
2020-07-08,7426
2020-07-09,6900
2020-07-10,6629
2020-07-11,5853
2020-07-12,7680
2020-07-13,8258
2020-07-14,7821
2020-07-15,7899
2020-07-16,17910
2020-07-17,6984
2020-07-18,5675
2020-07-19,5832
2020-07-20,7672
2020-07-21,7354
2020-07-22,9600
2020-07-23,7238
2020-07-24,6623
2020-07-25,5842
2020-07-26,7123
2020-07-27,13725
2020-07-28,25145
2020-07-29,7360
2020-07-30,7908
2020-07-31,7197
2020-08-01,5515
2020-08-02,5741
2020-08-03,6345
2020-08-04,8613
2020-08-05,6889
2020-08-06,23022
2020-08-07,6629
2020-08-08,5805
2020-08-09,22923
2020-08-10,61858
2020-08-11,6748
2020-08-12,12276
2020-08-13,7189
2020-08-14,112510
2020-08-15,51520
2020-08-16,63479
2020-08-17,7002
2020-08-18,16185
2020-08-19,14571
2020-08-20,7323
2020-08-21,6622
2020-08-22,12043
2020-08-23,5844
2020-08-24,7649
2020-08-25,7991
2020-08-26,7766
2020-08-27,8050
2020-08-28,7409
2020-08-29,6063
2020-08-30,5893
2020-08-31,8237
2020-09-01,8432
2020-09-02,7950
2020-09-03,14993
2020-09-04,7164
2020-09-05,5408
2020-09-06,6314
2020-09-07,7473
2020-09-08,7951
2020-09-09,13925
2020-09-10,8727
2020-09-11,8616
2020-09-12,7375
2020-09-13,6362
2020-09-14,20928
2020-09-15,9247
2020-09-16,8054
2020-09-17,9308
2020-09-18,7604
2020-09-19,5991
2020-09-20,5741
2020-09-21,7942
2020-09-22,8265
2020-09-23,8266
2020-09-24,8479
2020-09-25,7983
2020-09-26,6463
2020-09-27,6257
2020-09-28,8235
2020-09-29,8897
2020-09-30,8131
2020-10-01,7249
2020-10-02,6221
2020-10-03,5406
2020-10-04,5544
2020-10-05,7432
2020-10-06,7525
2020-10-07,11092
2020-10-08,10533
2020-10-09,9659
2020-10-10,8111
2020-10-11,8173
2020-10-12,10922
2020-10-13,10937
2020-10-14,11304
2020-10-15,10743
2020-10-16,10906
2020-10-17,8731
2020-10-18,8337
2020-10-19,11512
2020-10-20,11277
2020-10-21,11021
2020-10-22,11133
2020-10-23,10420
2020-10-24,8436
2020-10-25,8719
2020-10-26,10451
2020-10-27,11561
2020-10-28,11667
2020-10-29,10672
2020-10-30,10220
2020-10-31,8256
2020-11-01,8603
2020-11-02,11099
2020-11-03,11187
2020-11-04,10303
2020-11-05,10512
2020-11-06,10214
2020-11-07,8342
2020-11-08,8241
2020-11-09,11137
2020-11-10,11420
2020-11-11,10925
2020-11-12,11393
2020-11-13,11023
2020-11-14,8020
2020-11-15,8795
2020-11-16,10658
2020-11-17,11439
2020-11-18,11412
2020-11-19,12243
2020-11-20,10987
2020-11-21,9476
2020-11-22,9135
2020-11-23,12535
2020-11-24,11862
2020-11-25,11195
2020-11-26,10751
2020-11-27,10157
2020-11-28,9096
2020-11-29,9460
2020-11-30,11254
2020-12-01,11793
2020-12-02,12369
2020-12-03,11571
2020-12-04,11277
